UF;Total de Leitos
RS;208
CE;36
CE;64
GO;11
MT;80
PB;50
RN;40
MG;20
AM;42
SP;50
BA;128
AL;30
AM;258
AC;45
AC;28
RJ;77
MS;250
GO;27
CE;6
SP;26
MT;30
GO;25
MS;130
SP;102
RS;50
RJ;62
MG;24
RJ;36
PR;56
MG;48
SE;80
RS;67
RJ;12
AM;42
SP;12
AM;30
MS;50
TO;36
RO;13
BA;83
BA;46
DF;113
PR;220
AM;108
CE;111
SP;40
SP;28
BA;96
MT;25
BA;35
MT;136
GO;10
RN;21
PA;24
RN;300
RN;350
SP;48
MG;20
MG;35
GO;248
AM;54
PE;61
ES;75
SE;230
RJ;70
SC;200
MG;230
MG;330
MG;138
SP;210
MG;143
MG;236
MG;146
MG;208
RN;46
SP;40
AL;45
RJ;78
SP;60
MT;140
RJ;289
MA;20
RJ;189
RJ;231
RN;432
PR;100
AC;76
MA;31
RJ;150
BA;60
SP;62
PR;100
PB;21
PR;22
AM;11
DF;118
RN;222
RN;485
AM;42
PR;74
MG;25
MG;52
ES;172
RS;8
PR;33
MS;47
PB;28
MG;120
RS;43
ES;130
RJ;100
RJ;112
PA;35
RJ;80
SP;40
SP;50
MG;24
SP;56
SP;173
MT;40
DF;29
SC;120
GO;48
SP;212
RJ;25
MA;10
AM;25
PA;20
BA;50
MT;70
PE;36
MT;29
BA;148
SP;348
SP;363
PB;256
MG;115
MG;90
RJ;41
SP;82
MG;50
SC;116
SP;34
MG;72
MA;17
SP;179
BA;23
MS;94
CE;39
AM;56
PI;34
RJ;216
SP;231
RJ;181
SP;165
MG;160
PA;166
RN;228
GO;190
RJ;266
SP;162
SP;149
SP;184
SP;142
SP;276
SP;119
SP;210
SP;178
SP;228
SP;239
SP;226
SP;228
SC;311
SP;148
SP;298
SP;354
SP;320
SP;280
SP;241
RJ;114
SP;243
RJ;100
MG;420
DF;380
SP;84
RJ;296
RS;120
DF;188
GO;142
MG;159
RJ;154
MG;390
SP;500
ES;304
MG;357
MG;284
AM;293
MG;176
RS;160
RN;327
RS;262
AM;294
SP;171
PE;410
CE;243
CE;385
MG;102
SP;268
DF;138
PR;168
SP;165
SP;219
ES;126
SP;364
PA;423
DF;169
PB;246
PE;30
SC;180
BA;250
RJ;200
CE;795
PE;346
MG;116
TO;97
TO;49
BA;200
SP;462
RS;220
SC;160
SC;128
SC;220
SC;252
SC;220
SP;216
SP;360
SC;264
SC;360
SP;360
SP;360
RS;308
RS;308
RS;360
PR;204
RS;308
RS;332
RS;220
SC;264
PR;360
PR;264
SP;280
SP;160
RS;264
PR;526
RS;360
PR;228
RS;300
PR;152
GO;40
RJ;53
SP;56
SP;70
MS;34
RJ;228
GO;318
TO;75
MG;145
BA;38
AC;27
BA;10
RS;75
MG;84
AL;78
ES;41
PB;32
PA;11
CE;45
RO;62
PA;62
BA;65
MG;35
RJ;36
AL;21
SP;110
PR;125
AM;68
SE;45
AL;60
GO;200
PE;284
MG;12
SC;24
PR;114
DF;122
MT;24
CE;20
MA;60
RS;172
GO;21
BA;667
PE;93
PE;10
BA;18
AL;12
MA;32
SP;42
RJ;47
MA;40
RJ;27
RJ;70
PE;56
RJ;156
SP;238
AM;58
RJ;52
PA;45
PR;82
PR;171
MG;72
ES;100
PE;54
RJ;44
RJ;130
PR;17
RJ;192
PI;85
SC;60
MS;9
BA;210
BA;58
SP;209
RJ;100
RN;160
PA;386
CE;32
RS;70
MG;96
RS;120
RS;85
BA;21
SP;227
AC;128
RN;77
AP;113
MG;40
RJ;22
SP;20
PE;60
RJ;209
RJ;100
MG;120
BA;70
MG;18
MA;57
PA;724
RJ;25
MG;8
PA;24
PR;52
PR;272
MG;284
GO;50
MG;131
MG;51
BA;22
ES;58
AL;57
PA;22
SP;12
MT;80
RJ;122
MS;180
RO;25
MA;21
RS;78
PR;41
RS;175
PR;318
MS;196
CE;184
RJ;8
BA;92
GO;78
RJ;24
MG;22
MG;150
RN;410
RS;215
MA;113
RN;96
AL;40
CE;16
MG;417
PE;430
PR;72
PR;160
RJ;169
RJ;495
BA;400
SP;159
PA;125
PR;88
RJ;215
RJ;432
RJ;286
PR;120
MG;104
ES;112
CE;13
AL;28
SP;38
PR;67
SP;180
SC;18
SP;34
SP;38
SP;124
RJ;150
MT;60
AL;41
PR;98
CE;88
RS;430
RS;278
SC;192
SC;111
SC;99
RS;264
BA;110
SP;80
SC;16
PI;27
RS;194
RS;217
SP;41
SC;511
AL;411
PB;30
PR;232
MS;98
MS;80
RJ;72
RJ;134
RJ;120
MG;39
PE;64
PR;72
MG;42
RJ;28
RN;13
RJ;40
SP;34
SP;116
PR;80
PA;25
RJ;48
GO;212
MG;189
PR;115
SP;285
ES;282
PR;179
PR;146
SP;167
PR;133
BA;414
BA;240
MG;200
MG;105
CE;56
SC;4
DF;217
DF;250
MG;60
CE;104
BA;85
BA;96
PR;180
SP;422
SP;277
BA;430
BA;120
PR;332
RJ;580
SC;424
SP;60
SP;81
RS;55
RJ;35
RN;44
MS;50
TO;31
TO;80
MG;120
RJ;387
CE;75
AL;80
SP;75
BA;36
PR;290
PR;130
ES;320
ES;216
DF;260
PE;410
MS;73
RJ;12
SC;75
CE;40
RS;30
PE;28
RJ;33
SC;330
SP;112
SC;100
RJ;88
SP;484
SP;170
SP;134
RS;278
SP;409
SC;96
SC;111
PR;183
AM;342
RS;504
SP;566
SP;339
GO;156
RJ;58
SP;200
SP;182
SP;1.126
AM;152
RJ;230
RJ;19
SP;1.200
MS;122
MS;161
RJ;65
RJ;672
RJ;120
RJ;54
RJ;32
RJ;130
GO;40
RJ;44
CE;5
SC;88
MG;138
RJ;40
SP;7
BA;58
SP;34
MG;102
BA;70
SP;88
PR;83
ES;25
PB;120
GO;40
AL;107
BA;104
BA;162
RJ;50
AL;12
MG;70
SP;52
BA;44
GO;326
GO;110
GO;464
MG;36
SP;60
SC;2
RJ;24
PB;69
CE;130
RS;88
AL;90
SC;224
PR;80
PR;280
BA;242
MG;79
MA;10
MT;13
MG;51
MG;7
PR;158
SP;650
RJ;200
SP;171
MG;96
MG;47
RO;21
SP;103
PE;70
PR;278
RJ;34
RJ;120
CE;36
BA;32
RS;200
MG;130
CE;80
BA;240
RN;54
PA;86
SC;602
SP;54
RJ;252
SP;60
SP;74
SC;32
SP;15
SC;65
MG;45
BA;100
AL;23
BA;18
BA;36
BA;91
MG;50
BA;46
AL;39
PA;36
DF;100
PE;208
SC;60
MG;22
MS;32
AL;25
PA;30
RN;44
AL;34
SP;26
BA;56
GO;25
BA;69
RJ;40
PR;42
SP;66
DF;311
MG;464
SP;200
MG;464
RJ;185
CE;70
CE;186
RJ;62
PI;160
CE;160
RO;30
BA;28
SP;80
MG;21
BA;150
PA;34
PB;29
BA;126
RJ;158
MG;105
BA;40
RJ;419
PA;90
PE;24
SP;20
TO;130
GO;30
RS;43
RJ;220
RJ;360
SP;74
PE;345
SC;30
ES;74
CE;15
RJ;22
BA;14
RN;12
RJ;124
RJ;50
MG;21
SP;517
SP;78
SP;19
MG;23
CE;15
ES;34
SC;196
RJ;53
SP;34
MG;44
SC;281
SP;209
SP;192
SP;104
RR;50
GO;63
GO;232
RJ;160
MG;310
GO;32
GO;33
PR;130
PR;220
SC;32
SC;85
SC;165
SC;80
RO;183
RS;72
RJ;312
MG;21
SC;177
SP;22
RS;29
SP;93
AM;48
AM;146
RJ;169
SP;326
BA;243
PR;138
SE;186
GO;165
PA;82
PB;104
MS;18
CE;24
AL;38
BA;23
SP;225
RJ;278
BA;65
SP;400
CE;27
MS;24
MS;48
SP;2
GO;3
MG;52
RJ;80
PA;42
BA;240
GO;170
RJ;67
CE;11
MS;31
MA;60
SE;279
SE;222
RJ;192
PE;50
GO;42
GO;14
MG;10
MG;108
SP;22
CE;18
SP;450
MS;45
MG;304
SP;200
SP;200
BA;150
RO;33
PR;132
MG;137
MG;72
ES;78
CE;12
MG;45
CE;240
ES;1.994
ES;1.790
SC;394
MT;102
RS;29
PR;298
MS;70
SC;51
MG;81
MG;51
MA;24
TO;282
RJ;20
RS;30
PA;35
RJ;396
GO;141
MS;81
MG;50
PE;24
CE;79
SP;281
SP;125
SP;70
RJ;16
RS;46
RJ;180
ES;100
RJ;94
SP;28
PA;45
PR;176
AL;37
BA;140
RJ;20
MS;84
CE;79
RJ;70
RS;80
MS;150
BA;60
RJ;47
SP;39
MG;79
RR;31
SC;35
SC;136
AC;70
SC;252
MG;15
RS;110
PR;100
PB;360
MG;22
PR;100
BA;75
AL;28
PA;76
ES;68
RJ;45
PB;42
MA;20
SP;150
GO;8
MG;52
SP;110
AM;40
PE;25
MT;37
SP;120
PE;66
PE;80
PE;71
SP;64
MT;35
DF;161
MS;107
GO;35
SP;80
MG;254
RJ;190
PE;60
RJ;10
RS;8
BA;18
GO;16
MG;6
GO;8
SP;18
MG;50
MG;26
RJ;25
BA;500
MS;16
SC;53
BA;168
GO;1
MA;26
MA;12
BA;100
RS;100
AM;28
PA;48
MG;30
PE;60
MT;60
MG;22
BA;20
PE;20
MA;84
RS;40
MS;34
MS;123
AL;36
SP;6
MG;90
CE;54
AC;52
PB;45
BA;204
RS;200
RS;250
PE;16
PA;145
RJ;766
BA;700
BA;596
SP;373
GO;51
AM;35
AM;38
AL;80
AM;44
MG;59
BA;72
PA;210
CE;197
BA;52
BA;56
RS;90
GO;20
RS;158
CE;58
RR;22
MG;180
MS;120
RJ;30
SP;140
AL;56
SP;75
ES;80
AC;42
MG;30
PB;16
SP;119
RJ;401
RJ;303
RJ;756
PE;190
GO;1.343
SP;674
RJ;36
SC;220
RS;90
RS;153
RS;90
DF;722
PR;47
RS;200
RJ;48
ES;132
RJ;304
GO;415
RJ;93
PR;206
MS;60
RO;144
RS;57
SP;30
SP;200
PR;135
BA;132
GO;50
MG;204
MG;79
PR;64
PR;390
RS;540
SP;93
MA;12
AL;28
RJ;1.040
RR;12
RJ;344
RJ;163
RJ;155
RJ;132
RJ;174
RJ;39
RJ;50
AL;37
RJ;142
BA;47
SC;120
RN;312
RS;180
RS;140
PE;5
CE;91
RJ;186
PA;28
RJ;15
SE;216
SP;159
MS;70
MA;78
SP;82
SP;28
SP;31
BA;84
RS;90
MG;120
ES;205
SC;1.300
RJ;108
PE;38
BA;90
MG;31
SP;140
SE;300
SE;146
AL;9
MA;49
MT;90
PB;152
PR;174
BA;300
SC;32
SC;42
RJ;10
MS;161
PR;142
RO;45
SC;21
BA;16
PR;7
MT;240
RJ;16
MT;50
GO;49
AP;14
AL;255
RJ;120
BA;420
AC;44
BA;289
GO;46
AL;16
AM;66
MG;140
PB;16
AM;21
RS;192
MG;144
PE;64
RS;168
MS;38
SC;240
AC;26
CE;26
ES;50
AC;44
AC;27
RO;75
RO;60
BA;80
AM;9
PR;27
GO;15
AL;100
SP;650
DF;182
RS;45
MT;35
SP;20
SP;90
PE;9
SP;80
SP;16
SP;85
RS;500
MG;121
RJ;50
CE;4
MA;45
SP;76
SP;150
MA;20
RJ;20
SP;298
PR;137
SP;225
SP;349
CE;190
PE;25
CE;98
PE;15
BA;55
PR;70
PR;150
AL;15
MS;18
SP;160
SP;102
SE;267
BA;192
MG;390
AL;20
AL;26
GO;16
MS;53
BA;28
PA;107
RJ;90
MG;698
AM;27
PA;30
PB;10
RN;50
PE;13
SC;76
SP;8
RJ;80
MT;98
MT;242
PR;236
PR;211
MG;61
BA;42
RJ;100
AM;75
GO;7
BA;44
AL;49
BA;36
RJ;60
GO;8
MG;12
SP;60
RS;82
RS;48
AM;264
AL;46
RS;210
RS;250
MG;37
PI;50
PR;179
RS;344
PR;209
BA;412
SP;436
PR;158
MS;275
MT;250
GO;31
PA;80
CE;15
PA;78
BA;26
AP;280
PA;15
RN;418
MG;30
MG;110
MG;143
MG;60
MG;180
GO;79
AL;260
RJ;32
SP;60
SP;24
GO;30
SC;21
SP;43
RS;50
MT;32
MA;21
MG;167
SC;25
ES;240
MG;26
MG;120
CE;8
ES;50
GO;12
RN;10
SP;14
MG;82
AM;59
SP;120
GO;67
GO;26
MG;40
GO;18
GO;18
AL;12
CE;169
PB;299
RJ;36
CE;48
SP;153
PA;184
DF;60
AC;33
MS;30
AL;108
GO;18
ES;50
PB;60
MA;60
CE;20
CE;376
BA;38
AL;51
MG;118
MG;14
RS;200
RS;252
RS;336
RS;144
RS;242
PR;279
MG;110
SP;39
MG;72
AM;52
RS;160
AL;40
RJ;11
MG;20
MG;140
SP;70
PR;169
AL;46
MG;82
RS;88
AL;18
BA;40
BA;18
GO;8
MA;48
PA;76
AM;180
RN;32
BA;20
CE;8
PR;124
MG;183
SP;45
PA;60
PB;80
AC;310
MG;80
MT;15
SC;64
SC;68
SC;80
MS;280
AM;32
SP;219
SP;10
ES;12
SC;25
BA;50
PR;306
PE;25
AL;45
PB;170
PA;17
AM;24
MG;40
GO;10
RO;14
MS;50
SP;26
MT;23
AC;44
BA;180
SP;69
RO;115
MT;12
AL;45
BA;25
MS;38
SP;47
MT;25
AL;69
MG;80
BA;43
CE;6
RO;90
SP;35
SP;21
MG;15
PE;27
MG;20
ES;8
MG;15
ES;42
SP;30
MG;26
MG;32
SP;45
MG;35
MT;38
RS;47
PE;18
MA;45
GO;4
PA;32
MG;28
BA;150
SP;46
AM;23
MG;12
MS;85
CE;30
SP;54
RN;19
MT;36
AC;35
MT;41
PB;38
PI;82
CE;24
CE;8
AM;48
MS;58
RN;71
SP;128
MG;370
MG;365
MG;140
RJ;393
PE;258
RJ;211
SP;83
PR;31
AL;60
SE;345
MG;60
GO;10
PB;15
MT;38
GO;553
GO;106
MG;20
MG;34
CE;8
GO;18
MT;43
BA;24
SP;136
MG;34
SP;30
CE;14
MG;70
AL;36
PR;9
PR;70
PR;68
AL;16
SP;260
BA;13
BA;29
SP;10
SP;58
AM;90
RJ;15
BA;16
RS;60
MG;14
SC;69
SC;53
SP;10
GO;39
AL;75
AM;41
CE;42
SP;41
SP;72
CE;36
RJ;47
MS;4
PA;60
MT;19
SP;320
MS;41
RJ;68
RN;34
AC;32
SP;18
MS;12
SP;54
AP;25
RJ;14
RJ;40
BA;28
MG;37
SP;112
RJ;108
BA;65
MG;49
RS;199
RN;30
RN;180
MG;56
PE;60
TO;108
BA;151
SP;60
MG;108
MG;50
BA;164
SC;70
AM;140
SC;202
BA;32
RS;66
PR;148
SC;364
MG;204
CE;114
MG;39
MG;35
SC;330
MG;50
MG;80
SC;280
PI;12
RJ;26
RJ;218
MG;60
BA;44
PB;80
MG;52
MG;240
PE;376
RJ;80
PR;297
RJ;132
PR;185
RJ;130
PR;177
PR;160
PR;698
PR;151
PR;270
PR;550
RJ;182
PR;220
RJ;204
MG;90
MG;87
MG;94
SE;75
BA;90
CE;62
AC;56
PE;715
RN;25
PE;80
PE;141
SP;50
MG;40
BA;61
MG;20
RJ;163
CE;68
RS;72
AC;68
RR;60
MT;64
AM;26
MG;539
RO;21
RS;147
MA;24
MG;48
RJ;52
MS;40
BA;38
MG;7
MT;280
MG;21
AM;26
RS;100
MT;16
BA;123
AM;14
MG;66
MG;204
PB;51
BA;45
RJ;38
PR;108
BA;48
CE;31
RJ;14
RJ;172
SC;29
CE;50
AL;18
PB;40
GO;80
SP;60
MG;14
SC;91
RJ;37
RJ;40
MG;11
RJ;68
SP;12
SC;19
MG;18
PR;190
SP;120
SP;348
CE;80
SP;154
SP;112
SP;130
SP;170
SP;168
SP;154
SP;170
CE;10
PA;30
MG;40
MT;65
SP;250
MG;66
PR;36
AM;15
BA;70
AL;308
MS;15
BA;38
GO;35
MG;58
SC;92
RR;27
AL;16
PA;20
PI;13
SP;50
PI;198
PI;118
TO;53
AM;22
MT;25
RS;248
AL;10
CE;60
MS;30
RJ;28
RN;500
BA;60
BA;44
BA;95
MG;150
RS;80
BA;39
BA;34
RJ;20
MG;56
MG;86
BA;40
MS;225
MG;237
RS;292
RS;240
GO;89
MT;63
GO;24
CE;306
DF;121
BA;230
BA;50
RR;65
RJ;20
AL;81
RS;12
MG;85
SC;46
RN;60
PE;20
PA;40
AL;27
AM;24
CE;100
MG;30
MG;13
SP;39
SP;10
PA;50
AM;96
RN;60
RJ;96
AL;145
MG;34
SC;7
MG;40
CE;80
RS;140
RN;32
AL;42
SP;148
SP;50
RJ;14
RN;52
SP;56
RN;12
SP;85
PE;100
RJ;310
SC;105
SC;36
MG;31
MS;22
SC;26
SP;16
MS;60
MS;22
SC;800
AC;66
PE;64
GO;17
PE;30
AL;36
PA;80
CE;120
MG;30
AL;45
SC;5
MS;44
MS;34
PE;336
GO;11
MG;16
CE;75
SP;147
SC;71
AL;30
PR;45
PA;30
GO;36
MA;13
SC;20
CE;9
MT;20
SC;32
BA;42
RJ;147
AL;20
SC;130
SC;110
AM;42
PA;30
MG;34
CE;40
SC;35
SP;129
PR;53
PR;51
AM;30
AM;24
MT;29
BA;457
AM;42
RN;12
AM;23
PA;105
SP;130
RN;65
CE;29
CE;54
AM;40
CE;48
AC;56
AC;48
PA;25
BA;18
SP;49
RJ;40
PR;212
PR;57
ES;10
AL;40
AC;12
PB;40
SC;396
CE;11
GO;100
BA;15
AL;28
SP;108
BA;27
SP;180
AC;58
MT;71
AC;90
PR;109
RN;18
AM;24
MT;60
BA;54
MS;61
CE;28
CE;27
PA;156
MG;21
CE;269
CE;420
CE;96
RJ;72
SP;16
MS;98
CE;64
CE;74
SP;42
PR;20
ES;261
ES;196
PR;295
PR;33
PR;420
MT;29
RJ;80
RO;19
MT;115
RS;103
PR;46
SP;119
CE;36
RR;9
MG;60
PI;26
BA;10
PA;40
RN;63
RN;12
BA;135
PR;180
PI;24
RJ;8
GO;33
SC;6
RN;30
SP;28
AM;16
CE;56
SP;22
PA;98
PE;37
RS;90
CE;48
CE;18
PA;81
RJ;16
AL;42
RJ;178
PE;40
RJ;30
SP;33
BA;20
SP;28
MG;92
MG;85
SE;8
AC;80
MG;23
PA;70
PR;162
TO;39
AC;20
RJ;53
RJ;180
RJ;220
MG;115
SP;51
AP;15
PA;96
SP;53
RJ;16
GO;16
MT;77
RN;40
SP;30
RJ;24
MT;50
RJ;48
RJ;200
SC;52
CE;100
MS;117
PR;544
RN;24
RN;264
GO;96
PR;91
MG;67
MG;74
GO;17
DF;143
AL;720
AL;178
MG;90
AC;45
SP;280
MA;66
RO;66
PR;141
TO;67
SC;140
MG;7
CE;74
RJ;36
MG;5
RJ;82
SE;296
PA;25
AM;56
SP;36
RS;107
BA;56
PI;8
SP;264
MG;60
RJ;113
RJ;80
SP;10
GO;13
SP;40
BA;68
SC;260
SC;320
RJ;34
CE;6
GO;18
RS;71
GO;50
BA;28
SP;301
RJ;65
RN;34
MS;328
PR;315
AM;49
CE;68
PE;114
GO;149
SP;72
AL;80
AM;21
MS;78
MS;45
MS;100
SP;31
RJ;54
PR;50
SP;45
RN;8
RN;41
MG;35
PR;22
AL;26
BA;30
SP;57
MG;20
PA;61
CE;14
MG;30
SP;18
AL;28
SP;29
AL;80
GO;80
SP;324
BA;392
RJ;324
PE;400
RS;272
RS;718
AL;234
RS;260
RN;376
RJ;400
PR;343
SC;9
PR;148
ES;53
PA;57
MG;16
AM;25
RN;35
RJ;42
BA;66
CE;15
SC;16
MG;35
MA;70
RJ;100
CE;15
BA;150
CE;170
ES;61
SC;100
PR;290
GO;50
BA;74
RO;226
SP;147
PA;270
PA;159
MS;100
PA;50
CE;50
MS;122
RJ;63
PA;41
AL;106
MS;110
MG;36
MG;216
SP;110
DF;130
BA;321
RJ;200
CE;98
CE;90
PR;140
PA;28
MA;20
MG;110
SC;120
CE;58
AP;24
SP;130
PR;52
SP;150
AM;90
MG;52
RS;222
RJ;134
SP;202
PR;180
MG;60
RJ;64
RJ;32
MG;118
MS;320
SP;213
SP;150
BA;160
PE;482
SC;24
PR;24
AL;20
RJ;23
SP;42
RJ;256
MG;45
MG;86
CE;32
MT;107
MS;40
SP;150
SC;12
SP;80
RN;230
CE;80
AL;28
AC;104
SC;240
CE;32
BA;120
RO;22
PE;79
RS;149
RS;304
ES;102
PB;125
MG;130
SP;76
SP;60
PA;45
RJ;95
BA;40
SP;46
SP;80
PI;132
RN;50
MG;1.171
AL;250
AL;114
SP;20
MG;30
RJ;15
MG;82
PR;56
AM;362
SP;448
PR;63
BA;26
PA;84
SC;444
MG;68
BA;120
RJ;34
RJ;65
BA;24
PB;240
PR;160
RS;167
MT;30
MG;177
SP;230
PE;225
SP;20
BA;50
SP;100
SC;130
SC;130
SC;164
PR;130
RS;128
SC;106
GO;80
SP;89
SP;32
RS;50
BA;19
SP;39
PB;36
RJ;78
MG;88
BA;33
PI;86
PA;1
PE;21
MG;20
RS;45
AL;12
MS;60
RN;100
PE;40
RN;59
PA;51
MS;38
MG;32
CE;57
AL;96
RJ;67
SC;237
SP;294
MA;32
TO;57
MG;47
MG;140
AP;60
PA;8
RJ;298
RJ;314
SP;276
SP;92
SP;147
CE;43
PE;14
PE;150
SP;68
RO;73
RS;108
BA;40
ES;102
SP;605
CE;26
SP;139
SC;313
RJ;30
RJ;46
SP;147
RN;27
MG;294
MG;98
SP;609
AL;51
MA;66
SC;450
RO;112
RS;90
SP;397
MG;520
SP;47
PE;87
SC;104
CE;121
MG;73
AL;22
RJ;64
MG;113
RJ;54
RJ;66
MG;36
RJ;36
SP;33
RJ;76
RJ;148
MG;86
RJ;40
RJ;116
RJ;104
PR;36
MG;42
SP;15
SC;24
PE;28
SP;16
RJ;54
PE;30
GO;59
BA;14
SP;12
RJ;56
SP;28
RJ;36
BA;26
BA;24
RJ;30
SP;13
PR;40
PR;16
SC;26
MG;70
SC;64
MG;80
RJ;131
SC;98
MG;124
SC;102
RS;150
RS;150
PR;130
MG;52
MG;93
MG;40
ES;505
PA;81
RJ;202
AL;44
RS;250
PE;240
SP;160
BA;134
SP;180
PA;94
PR;466
SP;82
RS;90
SP;37
CE;426
BA;91
BA;155
RS;174
RJ;312
AC;240
RS;320
SP;90
RJ;63
MT;120
RJ;340
MG;476
RJ;225
RJ;135
BA;435
RJ;873
SC;98
AL;556
AL;566
PR;65
SP;73
PA;172
MT;40
SP;995
AL;507
CE;519
CE;519
CE;434
SC;84
RJ;540
SC;165
SP;256
SC;216
RJ;142
RS;170
RS;132
RS;152
MS;244
PR;65
RO;40
RO;13
RS;61
PR;69
GO;20
ES;45
MG;400
SP;58
BA;99
MS;191
SP;124
RS;83
MG;66
RS;150
PR;79
BA;33
BA;282
RJ;80
RO;22
RO;50
SP;24
SC;98
RN;75
PA;68
RS;70
RS;26
RS;163
RS;304
MG;50
MG;150
RO;60
RJ;47
PA;32
RS;73
RJ;51
RJ;326
CE;120
MG;74
SP;168
GO;102
RJ;79
MG;62
MG;250
RS;400
SP;138
SP;122
RJ;80
SP;96
AL;78
MG;106
RS;247
SP;300
SP;168
BA;530
SP;336
MG;269
SP;104
SP;195
SP;133
SP;194
RJ;740
ES;220
SP;139
MG;635
PR;150
PR;80
RJ;139
PR;260
BA;282
MG;255
MG;5.486
SE;131
PA;256
MG;284
MG;182
MG;228
PA;208
MG;300
SP;314
SP;528
SP;714
SP;989
SP;520
SP;207
PR;208
SP;728
SP;384
PE;150
SP;144
RJ;229
BA;275
SP;208
SP;240
SP;200
SP;157
SP;236
SP;308
SP;236
SP;144
SP;150
ES;158
AM;96
MG;115
PE;111
RJ;116
ES;52
DF;265
PR;126
SC;105
SC;350
SP;212
SP;194
RJ;104
