UF;Leitos;
GO;43;
GO;324;
MS;122;
GO;555;
GO;72;
MT;35;
SP;25;
ES;78;
MG;100;
MG;37;
MG;55;
ES;60;
SP;233;
GO;18;
MT;128;
MT;25;
GO;31;
MS;76;
GO;100;
GO;107;
MG;120;
SP;277;
SP;36;
SP;32;
MG;70;
MG;111;
SP;153;
RJ;216;
RJ;400;
SP;90;
SP;36;
MG;99;
RJ;500;
GO;15;
GO;110;
GO;35;
MT;27;
MT;68;
MS;350;
MT;121;
GO;22;
MT;56;
GO;1440;
MS;72;
MS;92;
GO;63;
GO;232;
MT;37;
MS;61;
GO;331;
GO;5;
GO;67;
GO;30;
GO;42;
RJ;378;
SP;150;
MG;120;
MG;50;
RJ;22;
MG;59;
RJ;50;
RJ;60;
RJ;310;
SP;120;
MG;310;
SP;132;
SP;301;
MT;29;
GO;53;
GO;76;
GO;206;
MT;100;
GO;16;
GO;24;
ES;188;
MG;294;
SP;31;
RJ;24;
RJ;47;
RJ;405;
SP;56;
RJ;82;
MG;24;
MG;15;
SP;192;
RJ;93;
ES;110;
RJ;176;
DF;96;
MT;75;
GO;27;
MT;67;
GO;30;
GO;672;
MT;67;
MT;132;
GO;55;
GO;31;
MS;80;
MT;682;
MS;40;
GO;25;
GO;90;
GO;40;
GO;50;
MT;245;
MT;20;
MS;60;
GO;40;
SP;250;
SP;42;
MG;183;
MG;90;
ES;50;
SP;501;
MG;149;
MG;85;
RJ;28;
SP;52;
SP;241;
RJ;50;
SP;405;
GO;184;
MS;46;
MT;36;
MT;75;
GO;29;
GO;15;
GO;51;
MG;140;
RJ;204;
SP;189;
RJ;12;
RJ;199;
SP;202;
GO;60;
GO;48;
GO;32;
GO;25;
MS;180;
GO;48;
GO;48;
SP;618;
RJ;65;
SP;298;
ES;41;
SP;60;
SP;40;
RJ;113;
GO;1;
CE;1391;
PI;21;
BA;21;
ES;328;
MG;51;
RJ;51;
GO;12;
MS;45;
MT;75;
MT;48;
GO;233;
MT;60;
MT;31;
ES;224;
ES;30;
RJ;36;
RJ;230;
RJ;36;
SP;308;
RJ;70;
GO;43;
MS;38;
GO;40;
GO;27;
GO;1920;
GO;27;
MT;117;
RJ;12;
RJ;27;
SP;60;
RJ;75;
MG;130;
RJ;33;
ES;78;
MS;123;
GO;144;
MS;450;
MT;168;
MT;50;
GO;6;
ES;60;
MG;110;
RJ;60;
RJ;28;
RJ;186;
SP;168;
RJ;120;
GO;26;
GO;30;
MS;60;
MS;190;
GO;40;
GO;20;
GO;40;
MG;25;
RJ;30;
RJ;290;
MG;81;
SP;100;
MG;81;
SP;120;
RJ;60;
MG;105;
RJ;33;
RJ;596;
SP;50;
RJ;60;
MS;244;
GO;344;
GO;20;
MS;275;
GO;120;
MT;26;
SP;432;
MG;45;
RJ;120;
SP;700;
SP;184;
RJ;192;
RJ;194;
SP;119;
RJ;72;
SP;300;
SP;13;
SP;83;
SP;112;
RJ;90;
SP;310;
MG;105;
SP;6;
RJ;124;
GO;12;
GO;117;
MS;50;
MG;190;
MG;236;
SP;291;
RJ;36;
MT;43;
GO;10;
MS;30;
GO;57;
GO;12;
GO;20;
MS;47;
GO;56;
MG;61;
MG;80;
SP;96;
SP;154;
RJ;90;
SP;535;
SP;18;
SP;289;
MG;102;
SP;111;
RJ;42;
RJ;84;
SP;312;
GO;116;
GO;96;
GO;1480;
MT;24;
GO;48;
GO;34;
GO;48;
SP;60;
RJ;38;
SP;22;
RJ;96;
SP;170;
RJ;32;
SP;75;
SP;134;
ES;60;
MG;20;
RJ;310;
ES;444;
RJ;298;
MS;130;
MS;80;
RJ;41;
SP;138;
SP;228;
SP;94;
MG;110;
MG;237;
SP;125;
SP;120;
RJ;52;
MG;189;
RJ;265;
RJ;72;
SP;168;
RJ;303;
MG;520;
MG;115;
SP;42;
MG;35;
SP;330;
RJ;93;
MG;15;
RJ;52;
ES;182;
RJ;120;
SP;116;
MS;29;
MS;100;
MS;30;
GO;15;
GO;50;
GO;40;
MS;56;
RJ;35;
SP;47;
RJ;67;
MG;24;
SP;57;
MG;158;
RJ;53;
RJ;37;
RJ;44;
SP;200;
SP;148;
SP;27;
MG;95;
RJ;40;
MG;40;
SP;150;
RJ;25;
MG;146;
RJ;644;
SP;25;
RJ;24;
SP;1126;
RJ;28;
RJ;12;
MG;90;
RJ;20;
RJ;57;
SP;155;
RJ;66;
SP;35;
SP;51;
SP;43;
MG;70;
SP;265;
RJ;150;
SP;123;
SP;60;
SP;70;
RJ;72;
MG;123;
SP;102;
ES;7;
SP;69;
MG;110;
RJ;70;
RJ;60;
GO;248;
GO;62;
GO;10;
GO;100;
GO;16;
GO;20;
MT;136;
SP;276;
RJ;566;
SP;68;
RJ;130;
SP;320;
RJ;414;
SP;308;
SP;196;
RJ;10;
ES;60;
SP;19;
CE;88;
ES;63;
MG;18;
SP;80;
SP;43;
MG;64;
RJ;390;
ES;240;
RJ;88;
MG;55;
RJ;24;
ES;58;
RJ;104;
SP;17;
ES;138;
MG;145;
SP;120;
SP;25;
RJ;61;
SP;80;
RJ;68;
MG;141;
RJ;54;
RJ;26;
SP;157;
RJ;40;
RJ;34;
MG;550;
SP;42;
RJ;20;
ES;32;
MG;8;
RJ;100;
RJ;50;
GO;346;
RJ;63;
GO;125;
GO;11;
MT;22;
SP;54;
MG;250;
SP;179;
SP;120;
SP;130;
MG;254;
RJ;50;
MG;132;
SP;174;
RJ;98;
RJ;84;
MG;131;
SP;120;
RJ;108;
SP;35;
SP;96;
RJ;29;
SP;134;
RJ;112;
SP;44;
SP;376;
ES;226;
SP;219;
RJ;42;
RJ;40;
CE;10;
RN;38;
GO;135;
GO;93;
ES;48;
RO;30;
SP;76;
SP;230;
SP;238;
SP;112;
SP;105;
SP;380;
SP;104;
RJ;60;
SP;224;
RJ;89;
RJ;160;
SP;819;
MG;15;
MG;26;
MG;50;
RJ;35;
SP;76;
ES;68;
MG;104;
SP;81;
AM;80;
TO;167;
PA;70;
AM;42;
PA;128;
AM;60;
AM;56;
RJ;34;
MG;140;
MG;80;
SP;110;
RJ;71;
RJ;16;
SP;60;
SP;248;
SP;282;
RJ;681;
SP;66;
ES;45;
RJ;382;
SP;50;
MG;65;
SP;68;
MG;90;
MG;200;
RJ;378;
SP;166;
SP;184;
RJ;98;
RJ;60;
SP;150;
SP;503;
TO;286;
PA;52;
RO;121;
AM;22;
AM;42;
RO;110;
AC;32;
MG;78;
MG;120;
SP;49;
RJ;56;
ES;176;
SP;115;
SP;40;
SP;50;
ES;150;
MG;50;
MG;38;
MG;120;
SP;1;
SP;602;
SP;154;
RJ;131;
SP;76;
SP;103;
RJ;36;
SP;354;
MG;65;
RJ;250;
RJ;204;
RJ;52;
SP;155;
SP;120;
MG;792;
AC;27;
PA;64;
PA;50;
AC;90;
PA;99;
AM;40;
AC;76;
RJ;34;
SP;120;
SP;28;
MG;136;
RJ;56;
MG;80;
SP;40;
RJ;58;
SP;104;
RJ;200;
SP;60;
RJ;20;
SP;276;
ES;80;
RJ;50;
SP;18;
MG;105;
MG;70;
SP;163;
SP;13;
RJ;112;
SP;120;
SP;70;
SP;50;
RJ;25;
MG;24;
RJ;336;
PA;35;
AC;80;
AM;76;
AC;74;
TO;30;
AM;40;
PA;36;
SP;252;
SP;57;
RJ;340;
SP;26;
RJ;332;
SP;400;
RJ;134;
RJ;60;
SP;270;
SP;285;
SP;66;
SP;88;
MG;60;
SP;215;
MG;28;
SP;150;
RJ;584;
SP;282;
PA;102;
PA;54;
PA;55;
AM;108;
AP;155;
AM;134;
PA;80;
SP;50;
RJ;192;
RJ;368;
RJ;174;
SP;391;
MG;28;
RJ;152;
SP;152;
RJ;22;
RJ;29;
MG;349;
SP;129;
ES;126;
SP;173;
MG;50;
ES;154;
SP;63;
MG;49;
SP;300;
RJ;24;
RJ;54;
MG;26;
RJ;90;
SP;70;
MG;73;
MG;160;
RJ;40;
TO;130;
AM;34;
AM;78;
PA;61;
RO;142;
AM;60;
RO;45;
SP;220;
SP;161;
SP;97;
SP;96;
SP;24;
MG;49;
MG;200;
SP;88;
SP;208;
SP;200;
RJ;303;
SP;281;
RJ;8;
RJ;130;
SP;200;
SP;179;
RJ;38;
SP;264;
AM;36;
AM;80;
AM;27;
AC;73;
AM;50;
PA;159;
MG;160;
RJ;36;
ES;30;
MG;72;
RJ;270;
SP;171;
MG;400;
SP;140;
SP;220;
RJ;130;
SP;198;
SP;24;
SP;93;
SP;338;
RJ;112;
RJ;28;
RJ;232;
SP;13;
MG;31;
SP;54;
SP;33;
MG;80;
RJ;84;
MG;591;
RJ;34;
SP;415;
RO;14;
AC;56;
PA;28;
AC;18;
PA;23;
AM;30;
PA;250;
SP;434;
RJ;344;
SP;116;
MG;120;
MG;80;
RJ;100;
RJ;52;
SP;166;
RJ;420;
RJ;80;
MG;114;
MG;50;
ES;62;
SP;160;
ES;59;
RJ;36;
SP;30;
SP;484;
SP;277;
MG;34;
AM;54;
AC;5;
AP;21;
AM;100;
PA;16;
TO;56;
AM;50;
MG;450;
RJ;128;
RJ;48;
MG;37;
SP;158;
RJ;214;
SP;517;
AL;249;
CE;15;
RJ;45;
RN;172;
PI;92;
GO;20;
RJ;50;
MG;160;
SP;212;
SP;154;
SP;144;
MG;110;
AM;44;
PA;20;
AM;35;
AC;21;
AM;66;
AM;316;
RO;32;
RJ;88;
SP;17;
MG;284;
ES;114;
RJ;70;
SP;85;
AM;18;
PA;40;
AM;30;
RO;50;
AM;42;
TO;47;
RO;25;
RJ;40;
SP;220;
MG;46;
RJ;170;
SP;60;
SP;132;
RJ;54;
SP;252;
RJ;12;
SP;65;
ES;380;
SP;70;
MG;6;
MG;26;
RR;70;
AC;68;
AC;91;
TO;54;
AM;114;
AM;324;
PA;38;
AC;78;
AP;66;
RR;130;
AM;21;
AC;69;
PA;110;
PA;100;
ES;36;
SP;10;
RJ;60;
RJ;41;
MG;160;
RJ;51;
SP;200;
SP;60;
SP;52;
SP;130;
RJ;26;
RJ;276;
SP;82;
RJ;57;
RO;66;
AM;32;
AM;32;
GO;312;
SP;139;
PR;324;
MG;60;
MG;48;
MG;70;
ES;7;
SP;525;
SP;39;
RJ;240;
PA;90;
PA;411;
RO;141;
AM;97;
PA;149;
PA;48;
AM;21;
RJ;324;
MG;70;
RJ;268;
SP;130;
SP;242;
RJ;166;
RJ;560;
SC;32;
RS;60;
SC;238;
RS;83;
SC;350;
PR;147;
SC;125;
SP;304;
ES;48;
RJ;42;
RJ;12;
SP;275;
SP;59;
RJ;79;
MG;92;
ES;50;
SP;110;
ES;53;
SP;3840;
SP;200;
RO;60;
RO;94;
AM;92;
PA;156;
PA;50;
AM;138;
PA;81;
SP;173;
RJ;150;
MG;24;
RJ;84;
MG;86;
MG;528;
RJ;199;
SP;78;
SP;64;
SP;54;
SP;50;
SP;69;
SP;167;
RS;175;
PR;48;
RS;112;
RS;60;
SC;263;
RS;144;
PR;38;
AM;24;
AM;342;
AM;180;
AC;45;
AM;44;
RO;226;
TO;180;
MG;32;
RJ;100;
RJ;70;
SP;74;
MG;88;
SP;170;
RS;201;
SC;72;
RS;383;
SC;58;
PR;82;
RS;60;
PR;74;
RJ;60;
RJ;120;
SP;11;
SP;53;
SP;216;
RJ;14;
RJ;60;
PA;590;
TO;65;
AC;42;
PA;116;
AC;38;
AM;34;
PA;182;
RJ;602;
SP;150;
SP;216;
RJ;304;
RJ;424;
MG;182;
RJ;132;
SP;349;
SP;252;
RJ;100;
RJ;274;
RJ;35;
RS;400;
RS;40;
RS;25;
PR;550;
PR;228;
RS;189;
PR;170;
RO;88;
AC;56;
AM;87;
PA;70;
PA;110;
AM;20;
AM;60;
RJ;1040;
MG;350;
RJ;182;
SP;47;
ES;50;
SP;60;
RJ;53;
RJ;46;
RJ;104;
RJ;102;
RJ;18;
RJ;160;
SP;144;
RJ;50;
RS;188;
RS;139;
RS;294;
SC;115;
PR;30;
RS;69;
SP;160;
ES;24;
RJ;49;
MG;25;
SP;86;
RJ;48;
RO;38;
AM;32;
AC;72;
RO;56;
AM;85;
AM;48;
PA;105;
RJ;21;
RJ;79;
MG;691;
SP;528;
ES;251;
RJ;70;
RJ;78;
PR;126;
SC;32;
SC;313;
RS;192;
PR;148;
SC;224;
SP;16;
RJ;49;
SP;110;
RJ;20;
RJ;705;
RJ;280;
SP;312;
AM;370;
AM;90;
TO;120;
AC;38;
PA;65;
AM;80;
GO;83;
SP;44;
SP;160;
RJ;170;
RJ;34;
SP;302;
SP;20;
SP;100;
RJ;72;
RJ;45;
RJ;100;
SP;314;
SP;54;
SP;65;
SP;252;
SP;89;
RJ;131;
RJ;30;
MG;54;
RJ;57;
MG;120;
RS;70;
RS;32;
RS;72;
PR;203;
PR;56;
SC;109;
PR;136;
RN;87;
PI;88;
RS;60;
PR;144;
PR;250;
RS;48;
SP;128;
SP;202;
RJ;80;
RJ;126;
MG;57;
ES;40;
PR;160;
PR;267;
RS;71;
SC;40;
PR;390;
PR;158;
RJ;174;
RJ;42;
RJ;45;
SP;258;
MG;125;
SP;147;
RS;170;
SC;252;
RS;300;
SC;36;
RS;180;
PR;53;
SC;46;
SP;26;
ES;60;
RJ;80;
RJ;32;
MG;18;
MG;43;
RJ;12;
RJ;58;
RJ;172;
SP;225;
ES;130;
RJ;22;
SP;288;
SP;212;
MG;122;
SP;15;
MG;55;
MG;165;
SP;503;
RJ;58;
RS;60;
RS;648;
SC;136;
SC;77;
RS;183;
SC;110;
SC;98;
SC;78;
PR;60;
SC;19;
PR;150;
PR;216;
SC;164;
SP;87;
SP;596;
SP;397;
SP;165;
RJ;432;
SP;360;
RJ;224;
SP;24;
SP;90;
SP;42;
SP;243;
RJ;80;
RS;200;
RS;222;
SC;154;
SC;100;
RS;120;
PR;60;
PR;27;
SC;412;
PR;156;
RS;60;
SC;13;
RS;106;
SC;151;
SC;21;
RJ;187;
RJ;60;
SP;167;
RJ;52;
SP;252;
MG;115;
RJ;378;
RJ;120;
MG;250;
RJ;54;
MG;50;
SP;40;
RJ;56;
SC;509;
PR;216;
PR;180;
PR;348;
SC;450;
RS;262;
RS;190;
SC;20;
SC;230;
SC;247;
PR;160;
PR;174;
PR;8;
SP;140;
RJ;20;
SP;78;
SP;164;
RJ;36;
RJ;65;
MG;50;
RJ;60;
SP;102;
RJ;60;
RJ;50;
RJ;36;
MG;143;
SP;51;
PR;160;
SC;105;
PR;47;
PR;192;
RS;264;
PR;171;
PR;146;
SC;327;
PR;80;
RS;339;
RS;220;
RS;80;
PR;108;
RJ;55;
MG;464;
SP;450;
RJ;85;
SP;144;
RJ;60;
SP;132;
RJ;8;
MG;126;
MG;180;
SP;116;
RJ;30;
SP;24;
SP;301;
PR;148;
SC;240;
SC;50;
SC;263;
RS;420;
RS;390;
RJ;28;
SP;58;
RJ;60;
MG;129;
SP;226;
ES;160;
SP;800;
SP;144;
MG;550;
SP;285;
SP;47;
RJ;130;
SC;120;
RS;149;
PR;49;
RS;18;
PR;90;
RS;399;
RS;105;
MG;150;
RJ;18;
RJ;218;
SP;168;
SP;59;
SP;300;
RS;210;
RS;504;
RS;190;
PR;233;
PR;80;
SC;190;
PR;62;
RS;247;
PR;120;
PR;82;
SC;160;
PR;298;
PR;30;
PR;257;
RJ;150;
RJ;252;
ES;160;
SP;260;
RJ;839;
RJ;128;
RJ;50;
ES;40;
SP;196;
SP;42;
SP;125;
MG;31;
RJ;210;
RJ;70;
RJ;88;
SP;57;
SP;76;
SP;160;
MG;80;
MG;116;
RS;210;
RS;90;
PR;278;
RS;22;
RS;80;
PR;1286;
RS;140;
SC;330;
SC;396;
PR;44;
SC;56;
RS;112;
SC;45;
RJ;14;
RJ;45;
RJ;42;
RJ;166;
RJ;192;
SP;119;
SP;363;
SC;9;
SC;350;
SC;15;
RS;12;
RS;160;
SC;276;
PR;280;
RS;66;
SC;30;
RS;160;
RS;70;
SC;70;
SC;160;
SP;60;
SP;30;
SP;31;
MG;40;
MG;34;
RJ;800;
RJ;50;
RJ;202;
SP;132;
MG;280;
RJ;44;
RJ;31;
SP;37;
SP;150;
RS;20;
PR;49;
PR;210;
RS;150;
RS;220;
SC;92;
RS;304;
MG;28;
RJ;40;
MG;96;
RJ;159;
SP;396;
SP;30;
ES;102;
SP;54;
SP;138;
RJ;30;
SP;575;
RJ;50;
RJ;213;
PR;169;
PR;123;
PR;162;
SC;100;
RS;129;
SC;200;
SP;210;
RJ;140;
SP;100;
MG;417;
SP;72;
SP;160;
PR;161;
RS;38;
SC;210;
SC;96;
PR;450;
PR;280;
PR;80;
RS;26;
PR;120;
RS;120;
RS;163;
PR;176;
SC;128;
RJ;49;
MG;60;
SP;47;
MG;66;
SP;60;
RJ;24;
RJ;54;
RJ;40;
MG;191;
MG;106;
SP;76;
ES;96;
MG;54;
SP;78;
SP;36;
MG;50;
MG;44;
SP;60;
RJ;729;
RJ;100;
SP;100;
RS;84;
RS;56;
RS;45;
RS;150;
SC;264;
PR;107;
PR;100;
RS;344;
RS;235;
RS;65;
SC;128;
RS;125;
SC;70;
SC;96;
SP;128;
MG;60;
SP;39;
SP;120;
SP;90;
MG;266;
SP;44;
SP;92;
SP;225;
SP;162;
MG;289;
ES;60;
SP;34;
PR;90;
RS;240;
SC;212;
RS;20;
SC;22;
PR;60;
PR;48;
PR;130;
SC;410;
RS;164;
SC;60;
SC;29;
SC;82;
MG;27;
RJ;185;
RJ;120;
MG;300;
RJ;80;
MG;188;
RJ;106;
SP;500;
ES;60;
RJ;40;
RJ;113;
SP;476;
RJ;134;
PR;290;
PR;183;
SC;277;
RS;120;
PR;160;
SC;81;
SC;150;
SC;63;
SC;220;
SC;100;
PR;52;
RS;208;
RJ;13;
RJ;258;
RJ;79;
RJ;152;
RJ;50;
MG;14;
SP;307;
ES;132;
MG;30;
SP;64;
ES;33;
SP;90;
ES;261;
SP;35;
RS;110;
SC;129;
RS;292;
PR;82;
PR;130;
PR;1368;
PR;205;
RS;40;
RS;160;
SC;43;
RS;85;
RS;153;
PR;476;
SP;400;
RJ;30;
SP;72;
SP;150;
MG;95;
RJ;122;
SP;180;
SP;714;
MG;30;
RJ;36;
SP;42;
RJ;50;
RJ;56;
RJ;37;
ES;30;
RJ;48;
RJ;72;
MG;134;
RJ;84;
SP;76;
SP;53;
RS;252;
PR;279;
PR;185;
PR;135;
RS;328;
SC;51;
SC;30;
PR;120;
PR;22;
PR;158;
RS;148;
RS;27;
PR;331;
SC;14;
ES;30;
RJ;54;
SP;150;
MG;111;
RJ;50;
RJ;237;
ES;80;
SP;18;
SP;34;
MG;50;
ES;96;
RJ;100;
RJ;100;
RS;91;
RS;308;
PR;175;
PR;40;
PR;284;
RS;180;
MG;48;
SP;219;
SP;8;
RJ;120;
RJ;26;
RJ;55;
SC;42;
RS;222;
SC;120;
SC;92;
RS;168;
PR;300;
PR;98;
RJ;60;
SP;60;
SP;97;
SP;228;
ES;196;
SP;140;
RS;104;
SC;12;
RS;80;
PR;32;
RS;140;
SC;130;
RS;164;
SP;70;
MG;53;
MG;70;
SP;51;
SP;24;
MG;26;
RJ;36;
MG;96;
SP;88;
MG;40;
SP;252;
SP;71;
RJ;26;
PR;92;
SC;280;
SP;365;
RN;99;
SC;64;
GO;51;
MG;160;
MG;177;
SP;140;
RJ;24;
ES;68;
RJ;47;
RJ;238;
RJ;213;
RJ;150;
ES;328;
RJ;218;
RJ;80;
SP;51;
SP;280;
PR;206;
PR;211;
RS;210;
PR;210;
RS;304;
RS;154;
RJ;20;
GO;152;
MG;96;
MG;258;
PR;60;
RJ;176;
SP;184;
SP;140;
RJ;70;
SP;135;
SP;10;
SP;45;
PR;99;
MG;18;
GO;62;
GO;57;
MG;347;
RN;56;
RJ;50;
MG;150;
MG;162;
RJ;15;
RJ;104;
RJ;288;
SP;200;
RJ;40;
RJ;238;
ES;62;
SP;134;
SP;46;
RJ;62;
MG;180;
MG;250;
GO;77;
MG;151;
SP;40;
RS;82;
CE;814;
SP;17;
PA;264;
RJ;339;
SP;147;
RJ;78;
SP;19;
MG;163;
MG;44;
RJ;34;
SP;4560;
RS;76;
GO;111;
GO;16;
MT;45;
PE;9;
GO;60;
RJ;20;
SP;480;
MG;50;
SP;20;
ES;92;
SP;90;
SP;37;
SC;11;
RS;5;
PE;9;
SC;64;
GO;112;
GO;118;
AL;28;
SP;98;
RJ;92;
MG;150;
ES;130;
SP;225;
MG;90;
SP;113;
MG;13;
SP;200;
SC;330;
SC;57;
SE;83;
PE;17;
RJ;70;
ES;14;
SP;138;
MG;70;
SP;230;
SP;189;
SP;52;
SP;545;
SP;74;
ES;154;
SP;208;
RJ;52;
SP;160;
GO;22;
MT;22;
SC;180;
PA;10;
PR;85;
SP;210;
RS;508;
PE;23;
AL;443;
RJ;36;
BA;22;
PR;130;
BA;42;
MG;54;
SP;36;
ES;64;
RJ;44;
ES;140;
SP;38;
SP;200;
MG;50;
RJ;446;
RJ;370;
ES;23;
ES;24;
RJ;65;
MG;96;
SP;9;
SP;150;
MG;120;
SP;137;
RJ;130;
SP;269;
SC;8;
PR;50;
PR;62;
AL;48;
GO;86;
GO;74;
SP;286;
SP;70;
BA;52;
PR;55;
SC;180;
PB;140;
GO;1932;
RJ;56;
SP;344;
SP;12;
SP;32;
SP;25;
SP;160;
SP;63;
MG;312;
MS;78;
SP;414;
MT;38;
BA;44;
RJ;21;
MG;125;
MG;124;
RJ;50;
RJ;140;
SP;130;
SP;344;
PB;31;
AM;28;
GO;23;
SE;25;
SP;166;
SC;42;
SC;90;
MG;35;
SP;119;
RJ;108;
SP;236;
SP;44;
SP;10;
SP;65;
SP;60;
MG;144;
RJ;172;
RJ;156;
RJ;12;
RJ;50;
SP;38;
SC;30;
BA;178;
PB;17;
RJ;12;
SP;13;
BA;90;
SP;34;
SP;28;
RJ;27;
SP;450;
MG;1389;
RJ;54;
RJ;662;
SP;200;
TO;70;
RJ;6;
PR;72;
AP;36;
RJ;49;
BA;88;
SP;40;
RJ;120;
MG;215;
SP;34;
SP;120;
MG;56;
RJ;124;
RJ;39;
MG;348;
SP;306;
SP;18;
SP;124;
RJ;46;
PR;108;
GO;80;
PI;18;
SC;130;
SP;55;
SP;274;
GO;40;
MG;163;
RJ;120;
SP;274;
RJ;14;
ES;108;
SP;300;
SP;234;
PR;25;
SP;50;
SP;1;
RJ;51;
RS;90;
MG;21;
SP;656;
SP;488;
RJ;46;
MG;91;
SP;105;
SP;50;
PR;120;
MT;24;
MT;38;
MG;12;
RJ;1040;
PE;10;
RJ;312;
MG;635;
SP;150;
RJ;60;
ES;179;
SP;254;
SP;66;
SP;55;
PI;70;
GO;27;
SP;38;
SP;57;
RJ;54;
SP;78;
RJ;310;
SP;122;
SP;210;
SP;67;
SP;20;
SP;94;
RJ;387;
SP;63;
SP;208;
RJ;189;
ES;90;
GO;46;
GO;31;
MG;18;
RS;7;
SP;15;
SP;4560;
MA;432;
RJ;873;
SP;179;
SP;188;
SP;159;
MG;106;
RJ;252;
TO;180;
GO;26;
RJ;120;
SP;9;
MT;40;
MG;38;
RS;46;
RJ;75;
SP;120;
AP;70;
MG;32;
BA;46;
SC;46;
GO;82;
SP;16;
MG;51;
SP;178;
RJ;40;
SP;360;
RJ;68;
MG;160;
MG;342;
RJ;189;
ES;100;
RJ;45;
SP;220;
SP;60;
RJ;5;
SP;70;
RJ;30;
MG;63;
SP;19;
MG;43;
SP;1233;
ES;39;
MG;20;
SP;21;
MG;28;
SP;262;
SP;270;
SP;67;
GO;25;
BA;150;
ES;52;
GO;126;
GO;30;
SP;106;
SC;48;
PR;52;
SC;47;
AL;24;
PE;412;
AL;11;
GO;150;
SC;60;
SP;28;
MG;150;
SP;226;
SP;395;
RJ;96;
RJ;26;
PR;60;
RJ;20;
GO;14;
RJ;14;
SP;72;
PA;8;
SC;20;
MG;144;
MG;22;
SP;566;
MG;128;
RJ;62;
RJ;65;
RJ;286;
RJ;42;
RJ;30;
SP;446;
RJ;282;
SP;5;
SP;46;
GO;36;
AC;131;
SC;42;
SC;55;
CE;12;
SP;56;
RJ;140;
RJ;462;
MG;21;
SP;44;
RJ;44;
MG;208;
RJ;110;
SP;80;
CE;262;
RN;46;
CE;66;
RJ;45;
SP;56;
RN;28;
SP;160;
SC;60;
SP;114;
MS;52;
RJ;45;
SC;240;
RS;80;
RS;8;
MG;68;
MG;64;
ES;41;
RJ;50;
SP;184;
SP;78;
MG;44;
RJ;66;
MG;35;
MG;58;
RJ;14;
RJ;50;
RJ;18;
SP;1200;
MG;61;
MG;350;
MG;114;
RJ;148;
SP;260;
MG;150;
RJ;32;
SP;46;
RJ;8;
RJ;52;
RJ;50;
AM;142;
SP;240;
GO;34;
CE;40;
GO;50;
RN;45;
DF;260;
SP;170;
MG;115;
SP;58;
RJ;50;
RJ;44;
SP;180;
MG;23;
RJ;30;
RJ;180;
SP;382;
SP;83;
RJ;69;
SP;116;
RJ;42;
RJ;20;
SP;166;
BA;20;
RJ;24;
SC;150;
RJ;24;
PE;16;
SP;70;
RJ;69;
MG;130;
SP;88;
ES;320;
SP;13;
RS;51;
GO;64;
BA;682;
BA;264;
PA;103;
GO;1280;
SP;56;
RJ;64;
SP;26;
SP;16;
RJ;95;
RJ;18;
RJ;64;
RJ;80;
GO;20;
RJ;18;
BA;200;
RJ;4;
RS;34;
CE;24;
ES;260;
RJ;168;
SP;108;
RJ;80;
RJ;52;
SP;48;
SP;155;
ES;80;
SP;995;
SP;138;
MG;287;
MG;246;
ES;84;
SC;138;
GO;25;
SC;48;
GO;113;
SP;68;
AL;106;
PA;120;
RJ;96;
SP;38;
MG;36;
SP;13;
SP;94;
RJ;63;
SP;172;
MG;78;
RJ;200;
SP;18;
MG;200;
RJ;52;
RJ;323;
RJ;42;
PR;104;
AL;274;
RJ;96;
ES;70;
PE;55;
GO;92;
MA;96;
RS;10;
MA;25;
RS;105;
BA;24;
SP;24;
MG;36;
SP;24;
SP;140;
RJ;100;
RJ;142;
RJ;100;
RJ;314;
MG;50;
SP;56;
SP;36;
RJ;33;
ES;100;
SP;96;
ES;1994;
RN;31;
CE;40;
RJ;15;
PE;21;
SP;64;
RJ;26;
RS;85;
RJ;50;
SP;100;
SP;103;
SP;136;
SP;156;
SP;296;
SP;126;
MG;76;
MG;76;
SP;341;
RJ;68;
SP;54;
CE;20;
CE;12;
RS;30;
BA;294;
AL;12;
SC;142;
AM;207;
SP;75;
ES;60;
RJ;52;
RS;55;
RJ;25;
SP;165;
SC;40;
RJ;36;
RN;50;
SP;96;
SP;48;
SP;48;
SP;48;
SP;22;
RJ;86;
RJ;50;
MG;20;
SP;871;
SP;110;
MG;90;
ES;62;
SP;100;
MG;80;
SP;50;
SP;144;
RJ;150;
MG;250;
RJ;70;
RJ;14;
SP;80;
MG;26;
MG;30;
SP;18;
RJ;30;
SP;16;
SP;650;
SP;210;
SP;6;
MG;18;
MG;29;
RJ;36;
GO;28;
GO;120;
AL;200;
GO;30;
RJ;13;
SC;30;
GO;32;
RJ;45;
RJ;18;
RJ;30;
MA;26;
SC;8;
MG;148;
GO;12;
AC;48;
AM;44;
GO;80;
SP;35;
BA;45;
RJ;212;
BA;90;
SP;110;
RJ;163;
SP;8;
MG;145;
ES;101;
SP;39;
RJ;20;
SP;150;
SP;295;
RJ;110;
MG;230;
MG;365;
SP;221;
SP;80;
SP;200;
SP;174;
RJ;885;
SP;384;
RJ;60;
SP;70;
BA;120;
RJ;63;
RJ;16;
RJ;42;
RJ;35;
SP;70;
RJ;54;
RJ;172;
SP;252;
SP;143;
SP;129;
MG;144;
SP;52;
AM;35;
RJ;50;
RJ;24;
BA;16;
BA;324;
MG;10;
BA;76;
BA;162;
RS;65;
RJ;60;
RJ;26;
RJ;90;
SP;80;
RJ;24;
MG;110;
RJ;31;
SP;53;
SP;111;
