UF;Leitos;
PE;82;
PI;238;
CE;616;
PB;292;
BA;14;
MA;24;
BA;192;
CE;24;
PE;84;
PE;48;
BA;130;
CE;20;
RN;137;
PB;64;
BA;340;
PI;352;
CE;103;
MA;65;
AL;16;
CE;431;
CE;753;
AL;28;
CE;180;
CE;942;
CE;579;
PE;50;
PB;23;
AL;24;
BA;120;
PI;135;
AL;38;
RN;200;
BA;43;
PE;34;
PI;50;
CE;39;
PE;456;
CE;106;
CE;54;
CE;122;
BA;132;
AL;78;
AL;103;
SE;166;
PB;14;
BA;17;
CE;20;
PB;54;
BA;60;
PE;32;
CE;197;
BA;500;
CE;68;
BA;740;
PE;30;
BA;1100;
CE;52;
CE;82;
PI;123;
PB;69;
PB;120;
AL;260;
CE;15;
AL;34;
AL;12;
CE;16;
PB;30;
AL;28;
BA;40;
PE;15;
CE;269;
AL;120;
AL;60;
AL;23;
PE;450;
BA;84;
PB;60;
BA;70;
BA;54;
AL;23;
BA;242;
AL;75;
CE;1200;
PB;275;
PE;54;
AL;28;
CE;21;
BA;291;
PI;180;
BA;282;
BA;186;
BA;150;
CE;26;
AL;34;
BA;52;
RN;50;
BA;70;
BA;58;
AL;411;
AL;220;
PB;188;
SE;200;
CE;87;
BA;38;
BA;48;
RN;46;
MA;70;
PB;16;
BA;75;
BA;508;
PE;87;
RN;32;
PE;360;
RN;23;
BA;42;
MA;515;
AL;80;
AL;96;
AL;12;
BA;220;
MA;21;
BA;168;
BA;65;
BA;527;
CE;104;
BA;200;
CE;32;
MA;348;
CE;56;
SE;357;
BA;448;
AL;339;
PB;246;
AL;42;
PB;30;
RN;83;
RN;45;
BA;180;
CE;22;
AL;60;
BA;12;
BA;32;
CE;76;
PE;63;
AL;398;
BA;106;
AL;390;
PB;22;
PE;566;
AL;30;
PE;27;
BA;250;
AL;18;
PE;144;
CE;230;
CE;48;
PB;167;
AL;20;
BA;50;
AL;30;
AL;78;
CE;25;
SE;23;
SE;50;
PB;35;
BA;8;
BA;84;
RN;97;
PI;132;
PI;198;
BA;51;
PB;360;
PE;18;
MA;195;
PE;51;
BA;65;
BA;98;
BA;200;
CE;73;
BA;80;
AL;33;
CE;135;
BA;37;
PE;90;
AL;195;
CE;56;
CE;120;
RN;290;
BA;54;
PB;90;
AL;521;
CE;519;
AL;32;
PE;14;
CE;33;
BA;470;
PB;38;
BA;118;
PE;350;
BA;31;
CE;16;
BA;160;
AL;80;
PB;184;
AL;222;
CE;64;
BA;106;
BA;456;
AL;271;
BA;243;
PB;130;
AL;219;
RN;320;
BA;120;
CE;38;
PE;10;
BA;240;
PE;30;
PE;71;
PB;92;
PI;300;
RN;26;
AL;120;
PE;68;
PI;54;
PE;12;
CE;90;
BA;282;
PE;80;
RN;264;
AL;22;
RN;45;
PB;17;
PB;15;
RN;132;
MA;128;
PE;6;
PE;36;
BA;40;
PE;42;
CE;40;
CE;48;
AL;21;
AL;7;
AL;130;
RN;1210;
BA;150;
PE;20;
CE;141;
AL;12;
PI;8;
MA;25;
AL;30;
MA;24;
PB;20;
PB;68;
CE;9;
PB;80;
CE;100;
AL;58;
CE;22;
BA;41;
PE;11;
PB;15;
BA;60;
AL;40;
BA;16;
PE;64;
BA;54;
PB;120;
AL;145;
RN;350;
AL;137;
SE;135;
CE;297;
PE;220;
BA;99;
PE;14;
PE;44;
CE;42;
RN;10;
AL;50;
AL;32;
AL;52;
CE;16;
BA;24;
MA;10;
CE;30;
RN;22;
BA;80;
PB;202;
PI;102;
BA;180;
PB;299;
SE;113;
AL;90;
BA;55;
PI;35;
