UF;Total de Leitos
AM;540
SP;238
SP;416
RS;497
GO;250
SP;119
SP;145
CE;217
SP;454
SP;197
SC;12
PE;60
BA;39
PE;65
TO;124
RJ;18
RJ;65
SC;65
PR;104
CE;200
ES;140
SP;184
RJ;90
MS;402
GO;53
RS;191
CE;78
SP;30
SC;80
MT;40
SP;39
MT;94
SP;60
CE;30
RS;26
MT;168
RS;20
RJ;192
MG;50
CE;147
GO;120
MT;40
PR;126
GO;80
MA;44
MG;1018
SP;30
PE;68
SC;80
AM;30
SP;47
GO;12
SC;110
RJ;80
SP;90
SP;49
SP;147
MG;45
SC;24
RO;46
MG;40
SC;32
MG;130
MS;122
BA;74
MG;52
CE;50
SE;135
MT;26
MA;92
RS;348
RS;183
RS;292
RS;94
SC;167
SP;158
SP;252
MT;168
PB;136
CE;106
SP;159
RN;154
AM;414
BA;340
SP;164
SP;190
SP;123
RJ;224
DF;254
MG;266
BA;400
RS;170
SP;123
RS;383
RJ;186
PR;392
RS;164
AL;480
SP;274
SP;286
MG;63
RJ;164
RS;100
SP;289
RS;87
SP;80
SC;22
SP;76
SP;100
MT;39
SP;120
BA;50
MG;60
SP;12
MT;30
MT;29
SP;200
BA;35
TO;26
MS;106
MG;21
RS;120
CE;26
RN;595
MT;67
RJ;268
MG;40
TO;15
PR;107
BA;72
RS;14
BA;40
RJ;238
RS;18
MS;178
AM;28
SP;43
AL;60
SE;186
AM;9
PA;56
SP;16
SP;32
GO;326
GO;110
MG;160
RJ;102
AL;120
RJ;119
PA;135
RS;147
RJ;124
RJ;28
RJ;23
SP;23
BA;33
RS;108
PE;53
SP;94
SP;219
PE;64
SP;12
PR;120
SE;168
RS;44
SP;27
PB;90
SP;60
SP;50
SP;154
PE;170
RJ;31
SP;70
PR;206
RN;22
SP;60
MA;41
PA;61
PE;150
GO;60
PA;78
BA;60
SP;144
BA;19
BA;50
RJ;144
SP;172
SC;54
PR;51
MT;35
RS;24
SP;66
PR;240
GO;344
GO;45
RJ;36
GO;60
RJ;110
RJ;110
MG;90
RJ;28
AC;16
RS;10
SP;45
GO;200
PE;18
PE;54
AM;28
SP;8
PR;48
RS;35
SC;50
SC;27
AL;27
MG;35
MG;39
AL;45
SP;28
GO;120
GO;135
PE;40
SP;22
RJ;22
AC;20
PE;21
SC;45
CE;180
SE;209
RS;160
ES;44
AC;20
PE;150
PE;40
AM;120
RJ;100
SC;42
DF;140
RJ;90
PR;52
SP;132
BA;56
AL;75
MG;65
SP;20
SC;22
SC;160
SC;199
BA;96
SE;159
MG;122
AM;24
MG;76
SE;234
PB;90
MS;130
GO;135
RS;49
MT;67
BA;49
MS;81
SP;200
MS;84
SC;50
AP;70
SP;10
PA;31
BA;470
BA;470
SP;19
MG;35
PA;65
MS;18
SP;25
MS;80
SP;48
SC;24
SP;1000
GO;50
MG;13
PR;40
MT;30
SP;150
RJ;766
BA;700
BA;596
SP;373
MG;40
RJ;156
MA;28
RJ;42
SP;80
SP;166
SP;34
MA;44
MG;80
RJ;55
SP;23
MT;68
CE;32
MG;125
RS;24
MG;30
SP;39
PR;115
PR;146
SP;285
ES;282
PR;203
MG;312
SP;277
RJ;344
MG;42
MT;50
SP;22
MG;6
MT;70
GO;40
BA;20
AM;57
PI;18
MG;25
SP;94
MT;102
AM;24
GO;92
BA;38
MG;20
BA;350
SP;90
SP;29
PA;86
AL;116
PR;144
AL;30
AM;40
BA;220
BA;75
PR;90
CE;35
PE;9
SP;66
SP;112
PB;69
SP;40
PR;30
GO;78
RS;48
TO;56
PE;14
RS;160
PE;72
SP;349
MS;280
SP;52
MS;60
GO;25
RJ;19
MG;130
RS;34
AC;69
SP;70
RN;210
MG;12
RN;53
RJ;50
SC;26
MG;60
RN;30
SP;300
AP;90
TO;135
RJ;40
MT;28
MS;130
SP;60
MS;75
RJ;54
PA;108
RJ;31
CE;72
MS;90
ES;28
SP;29
MG;30
SP;46
SP;56
AL;47
SP;20
SC;275
SP;350
PI;143
PA;136
SP;22
RN;64
ES;193
CE;63
MG;62
MS;71
PE;16
SP;30
RS;104
RJ;60
MG;98
PB;69
SP;89
MT;80
ES;60
PR;56
DF;80
RJ;35
RJ;100
SP;130
GO;98
AC;76
SP;140
PR;100
RN;40
MG;92
RS;12
BA;186
PE;14
ES;27
SP;58
PR;62
PE;592
CE;65
PE;16
RS;24
BA;75
SC;2
MT;78
AM;25
RJ;147
RJ;50
RS;120
MG;63
RN;169
SP;20
AP;185
BA;152
MT;45
MG;90
SC;18
MT;86
MT;136
MT;279
MT;75
MT;308
CE;52
BA;80
SC;18
RS;30
AC;120
AC;59
AC;131
MG;70
BA;159
MG;14
RN;80
MG;44
PR;58
RJ;140
RJ;45
PR;60
RJ;60
MA;84
CE;87
SP;32
MG;52
PE;8
RS;50
SC;70
CE;100
RJ;146
GO;36
RJ;560
PR;332
BA;430
SP;277
BA;120
RS;340
PR;70
MA;50
BA;200
CE;93
MG;220
MG;12
SP;250
SP;60
RN;94
SC;98
SP;50
PR;35
MA;18
MT;25
RJ;90
BA;33
BA;53
AP;40
GO;1252
MG;24
MT;140
SP;60
MS;80
RJ;15
SC;90
RS;110
RJ;42
PE;339
PE;336
RJ;84
SP;96
SP;75
RJ;12
AL;112
BA;30
RR;60
MG;60
MG;12
MG;12
PB;245
PB;108
MS;336
MS;36
SP;101
MS;115
RS;12
RS;40
MG;150
SP;49
MG;8
PA;44
RS;30
SP;200
PE;64
SP;43
MG;16
MG;33
SP;37
PR;130
AM;182
RJ;14
GO;10
GO;50
SP;60
SC;48
AL;24
RJ;37
RJ;40
PR;38
RJ;52
SC;92
CE;77
BA;282
SP;36
RS;24
PB;130
ES;35
RJ;48
MT;80
SP;8
SP;30
ES;34
TO;75
PR;224
PR;330
PR;267
PR;257
MS;54
PE;52
PE;46
PR;80
MS;107
PB;100
MT;43
MG;350
MS;150
PR;101
RS;106
RS;508
RS;275
RJ;80
PI;252
PI;92
PB;17
PR;400
SE;30
CE;343
SC;102
MT;128
SC;54
MG;48
RJ;48
BA;96
BA;243
MA;60
SC;248
SP;556
PB;188
SC;325
SC;103
SC;151
BA;48
SP;50
RJ;126
MG;70
MS;50
BA;110
TO;36
CE;434
GO;22
AC;180
PR;51
RN;52
PR;28
RJ;82
RJ;339
RJ;78
RJ;323
RJ;270
CE;180
CE;36
MS;64
SP;276
RJ;35
MS;161
RR;57
GO;64
SE;120
RS;50
SP;60
SP;252
SP;252
SP;172
SP;144
PR;148
MS;40
RN;150
SP;55
MG;1389
MG;248
MG;591
MG;182
MG;399
MG;488
MG;149
MG;314
MG;200
MG;208
RJ;2627
MG;348
MG;273
MG;208
CE;135
RS;250
CE;50
SP;200
SP;200
MG;24
ES;39
RS;50
MG;44
PE;50
PR;112
GO;35
MS;144
SP;1652
GO;1009
GO;135
MS;85
SP;19
SP;33
MG;20
SE;31
RS;26
SP;38
MT;40
MT;90
PE;38
AM;50
TO;6
MG;18
BA;78
MS;92
MG;38
PR;128
BA;24
AC;56
SP;100
SP;40
GO;36
MS;334
SP;178
SP;274
SP;12
RJ;32
MG;6
PR;90
BA;64
PE;44
MS;190
RJ;32
MS;169
RJ;40
AC;90
MS;72
RN;88
TO;163
MG;67
SC;500
SC;330
ES;154
RN;30
AC;23
PR;96
MG;52
MG;64
SP;24
BA;26
PR;80
MT;102
MT;52
MG;54
RS;153
RS;40
BA;26
ES;60
RJ;35
RJ;270
RS;11
MT;24
SP;168
GO;233
PE;715
RN;100
SP;448
MS;216
TO;44
CE;40
SP;40
MG;16
MG;32
SP;97
BA;31
MG;64
MS;60
PE;24
SP;102
MG;105
SP;9
AM;32
MG;102
SP;75
SP;56
SP;150
RS;8
RJ;28
MG;180
MT;75
MS;120
GO;83
GO;38
MT;27
SP;298
AL;26
MG;9
SC;16
SE;50
PE;88
RS;38
MT;95
GO;260
BA;50
MG;34
RJ;70
SC;71
SC;260
RJ;50
SP;12
RJ;189
MT;100
SP;182
RS;75
MA;62
AC;38
SP;40
SP;72
PE;21
MG;60
MG;218
SP;81
PE;50
SP;108
RS;32
RN;80
BA;44
AM;148
GO;45
MS;65
BA;36
BA;81
BA;15
PA;34
SP;57
SC;8
RS;23
AC;54
CE;70
MG;72
RJ;55
RJ;79
ES;100
SP;68
CE;25
SP;42
PE;10
MT;90
ES;24
BA;80
SP;80
SC;82
PA;72
GO;74
MG;60
SP;44
SP;48
SP;70
PE;16
RJ;19
PR;120
RS;60
ES;110
MT;22
RJ;40
SC;40
RS;30
MT;57
PA;50
MS;50
PR;62
SP;26
AM;38
MS;62
SP;1
SE;24
PR;10
SC;59
TO;128
AC;90
SP;6
MG;30
AM;42
AM;29
PI;104
AM;20
CE;753
CE;1200
BA;740
BA;448
RJ;584
RN;1300
RJ;50
CE;520
GO;98
AC;361
AC;101
RS;10
SC;60
TO;54
PR;18
SP;15
CE;51
BA;60
RJ;30
BA;11
MT;240
AC;154
AC;76
GO;204
RO;132
PB;45
AL;51
AC;62
BA;40
BA;50
TO;92
AC;26
RJ;90
AM;21
AL;107
PE;60
BA;55
RJ;12
SC;52
RJ;66
SC;44
BA;72
BA;52
RS;8
RJ;60
BA;52
AC;23
BA;65
RJ;80
BA;47
CE;72
BA;61
RJ;75
PR;301
SC;75
RS;172
SP;84
SP;51
MG;130
CE;26
MS;50
SP;192
AL;178
SC;50
SP;148
RS;399
AP;37
SP;22
PA;60
MG;78
BA;23
RJ;30
PA;32
MA;149
SP;72
SP;60
RS;319
AL;80
SC;160
RS;150
BA;14
PR;180
PI;140
GO;48
MG;26
BA;162
SC;68
AP;16
PR;11
RS;10
SP;50
SP;50
RJ;40
RJ;78
BA;103
MG;32
MG;86
RS;125
RJ;26
CE;25
BA;40
PE;60
PE;218
SP;32
RJ;24
SC;104
GO;50
RJ;53
SP;35
SP;26
SP;50
SP;40
SC;130
AM;75
MG;93
RS;42
RJ;40
RN;72
DF;113
RS;53
PR;271
SC;32
PA;54
MA;43
SC;500
MG;74
MG;185
SP;285
SP;33
SP;60
SP;52
SP;34
SC;60
SC;22
SP;119
RJ;32
AM;16
SC;58
SP;34
MG;16
MG;96
GO;80
SP;189
SP;84
PI;187
AM;370
AM;144
RS;21
SP;70
MG;48
RJ;30
RJ;40
SP;45
RJ;157
SP;53
MG;18
GO;10
MA;71
AC;45
AM;79
PR;108
SC;48
RJ;83
RJ;12
CE;48
PE;530
RO;13
SP;27
RO;90
SC;60
AM;111
SP;36
RN;218
ES;50
SP;59
SP;376
RJ;120
SP;30
RO;80
PA;50
RJ;12
RJ;46
GO;100
SC;64
BA;49
RJ;40
PB;106
MG;31
SC;40
AM;36
SP;140
SP;38
RJ;36
GO;33
SP;120
SC;130
ES;33
SC;98
BA;58
RS;167
BA;162
BA;450
PE;13
MT;32
SC;22
SP;33
PA;42
SC;129
SP;58
MG;10
MG;29
GO;72
SP;30
MG;35
MA;65
SP;142
AL;146
SP;228
CE;226
RJ;96
RN;174
PE;120
SP;53
SP;50
GO;66
SP;16
PE;72
DF;260
MG;157
PA;18
BA;300
RN;27
MG;62
SC;220
RO;350
AM;1088
MG;80
BA;65
MG;240
MG;220
RN;78
SP;125
MG;6
RN;44
BA;60
RJ;22
SC;26
SC;40
ES;60
ES;15
RJ;14
BA;23
MT;125
MS;75
GO;30
SE;134
RJ;28
BA;180
AM;68
SP;21
SP;20
SP;240
MT;15
SP;112
MG;41
SE;50
MG;110
SP;148
RJ;50
AL;80
PI;118
PI;198
BA;75
RO;10
SP;105
MG;50
RO;119
SP;50
BA;70
MS;78
MS;100
SP;218
ES;148
SP;320
SP;134
ES;271
RJ;249
RJ;175
RJ;350
RJ;110
SP;164
SP;54
PA;53
SP;18
GO;20
PB;19
RS;176
RS;140
RS;130
RS;88
RS;320
GO;38
SC;50
SC;180
SC;66
SC;50
GO;234
PR;20
AP;60
RS;32
RS;60
MG;110
MG;111
RJ;164
AC;45
SP;120
SP;85
GO;90
PI;119
RN;42
MG;30
MA;220
RJ;42
SC;25
MA;17
RS;36
ES;50
RJ;236
SP;150
MG;16
SP;54
MS;61
RJ;27
MG;58
RS;190
SP;220
SP;38
MG;25
SP;110
TO;100
ES;80
RN;40
RJ;28
RS;120
GO;58
RS;50
PA;156
MT;100
SP;23
AM;191
AM;152
SP;60
AM;414
PB;299
CE;169
SE;40
MG;92
RJ;104
BA;80
RJ;60
PR;156
PR;65
RN;135
PA;213
PE;22
SC;65
CE;60
CE;247
SP;21
PR;97
SP;40
GO;50
SP;170
AC;50
PA;55
SP;54
RO;77
AM;93
RR;24
SP;22
SP;35
AM;131
MS;60
MG;120
GO;24
PR;38
SC;41
MG;160
MG;24
SC;142
SC;60
PE;183
SP;75
RJ;36
PR;72
SP;37
MA;59
RR;12
MG;84
PB;120
PR;18
SP;50
CE;18
CE;36
RS;20
RS;18
AM;80
PE;220
AM;12
PR;77
MS;28
TO;53
MG;40
RS;55
BA;100
BA;78
SC;142
RN;96
RJ;140
SP;51
CE;76
SP;90
SP;28
SP;100
AM;75
MG;66
MA;64
CE;70
SP;105
RS;10
BA;65
SP;48
RJ;30
MS;50
RS;27
RJ;45
PA;22
SP;40
RJ;29
BA;30
SP;18
BA;264
RJ;344
CE;27
MT;88
MG;120
BA;36
RJ;64
SP;322
SC;120
AL;78
MT;41
RJ;40
RN;110
RJ;218
SC;45
GO;22
AM;90
RJ;63
SC;46
PA;48
SP;84
BA;134
PR;35
PA;114
SP;42
SC;180
BA;148
SC;44
RJ;60
SC;45
RJ;70
SC;140
SP;68
SC;48
SC;220
RS;24
MS;20
GO;43
SP;15
SP;172
RS;101
SP;32
SC;20
BA;16
AL;32
PB;18
GO;10
PR;106
SC;16
CE;5
SC;54
RJ;40
SP;42
PR;56
AM;45
SC;160
PE;15
SP;68
SP;52
BA;48
PE;18
MA;35
RJ;60
SC;60
MG;36
AL;30
BA;26
MG;38
BA;28
SC;90
RJ;20
SP;39
ES;62
PA;724
SP;32
SC;32
ES;154
MG;220
RJ;54
SP;58
PI;13
BA;36
MG;30
RS;55
RJ;38
SC;60
SC;254
AM;80
SP;80
RJ;45
RJ;60
CE;58
SP;34
BA;250
MT;60
MA;42
RS;36
MA;195
SC;47
SP;17
PR;60
RS;145
PA;30
SP;15
MA;130
RS;40
MA;40
GO;28
MG;52
PR;83
BA;162
RN;25
BA;46
BA;35
CE;120
CE;42
SC;1300
MG;88
PE;10
MG;40
CE;102
RO;78
RO;75
MG;187
ES;87
SC;280
SP;70
RJ;64
PR;81
PA;115
PE;75
SC;238
SC;60
PA;53
MG;23
AC;46
MG;149
RJ;36
MT;25
AL;33
RJ;20
SP;25
SP;92
SP;19
AL;36
MG;22
SP;10
RJ;69
RS;15
SC;20
CE;50
SP;150
RN;40
MS;56
MA;20
PR;175
GO;110
BA;14
MT;50
RJ;50
MG;95
PB;40
PA;138
PA;97
RJ;70
AL;18
PI;51
PE;56
SP;54
CE;36
TO;92
SP;96
RJ;62
RS;88
AM;36
MT;62
PA;65
GO;57
BA;52
GO;48
PA;50
PA;20
PA;119
RJ;46
SP;62
CE;26
PE;27
PI;45
PE;9
RN;100
RN;90
SP;700
SP;180
CE;54
BA;51
SP;90
SE;64
BA;50
RN;178
MS;44
SP;45
MG;45
BA;60
RS;48
CE;6
CE;66
MT;69
SC;44
CE;60
PR;80
MA;125
RJ;120
PA;71
BA;120
MG;73
BA;292
AL;22
SP;130
RS;40
SP;13
SP;116
SP;25
TO;105
CE;64
CE;74
RS;40
MG;51
AL;40
SC;13
RJ;88
PE;157
BA;75
ES;27
BA;73
CE;31
SC;80
SC;165
RR;22
SC;64
PA;91
SP;78
GO;85
GO;42
PA;38
SP;10
RJ;84
MG;35
PA;110
AL;120
SP;60
SP;111
SE;222
SE;279
MG;20
RJ;98
RJ;71
GO;40
MT;72
MA;90
PA;27
MS;55
MT;96
PE;48
SP;62
MA;275
PB;15
PE;10
SP;7
SP;72
MT;47
SP;39
RS;60
PE;18
MA;10
SP;110
RS;150
PA;100
SP;16
BA;27
PA;40
AM;25
MG;87
MG;6
RS;16
ES;75
MG;16
SP;65
PA;76
SP;15
DF;436
DF;425
DF;316
DF;744
DF;516
TO;58
PE;6
SP;40
AL;106
PR;19
GO;127
BA;150
RN;6
MS;64
AM;53
PE;120
BA;25
MA;140
SP;96
BA;55
RS;55
BA;52
TO;22
MG;32
RJ;64
AC;120
SP;40
PA;65
MG;150
RJ;120
GO;52
SP;6
CE;311
SP;52
SC;20
RS;188
RS;76
SE;58
BA;60
BA;48
RN;43
CE;38
BA;60
PR;48
SP;14
MA;60
RJ;32
BA;56
BA;19
RJ;1196
PR;171
PE;22
ES;1790
ES;1994
ES;936
CE;83
SE;35
SC;110
SP;78
PE;95
RN;88
BA;45
SP;69
PR;41
RJ;65
SC;20
PA;36
SE;60
SC;30
PE;22
MA;64
MG;183
CE;40
CE;64
PR;60
TO;30
SC;46
SP;90
SP;40
MA;54
MA;151
PE;64
SC;64
SC;113
SP;29
SP;15
MG;20
ES;64
CE;20
PI;181
PA;54
MG;40
PA;38
RN;16
PR;278
SP;24
MG;24
SP;25
RJ;81
RJ;46
SP;120
BA;60
RJ;90
RS;40
AL;49
CE;220
RJ;60
MG;46
PR;84
MS;250
MS;12
SP;15
SP;7
RJ;68
PE;8
SP;24
ES;64
PE;36
PE;30
SP;118
SC;240
TO;47
AM;48
BA;27
PA;35
SP;42
RJ;39
RO;38
GO;10
MA;120
SC;46
ES;120
BA;90
CE;57
PE;13
SC;56
SP;35
AM;264
GO;14
PE;42
RJ;34
SC;16
RJ;42
MG;150
PI;32
SP;32
SC;162
PA;474
AM;50
RJ;120
PR;68
SP;77
AL;90
SP;10
RS;91
MG;54
RS;20
SP;45
RJ;20
BA;94
PE;54
SP;112
SP;72
MG;36
SP;10
BA;50
RJ;78
BA;30
MG;129
MG;40
RN;55
SE;55
BA;27
BA;15
RN;289
RJ;26
MS;56
GO;9
PA;28
MG;120
