UF;Leitos
SP;349
MG;349
MA;348
BA;348
BA;348
MG;348
RS;348
MG;348
PR;348
PR;348
PE;348
SP;348
RS;346
GO;346
SE;345
PA;345
GO;344
RJ;344
SP;344
SP;344
RS;344
RJ;344
PR;344
RS;344
DF;342
AM;342
MG;342
SP;341
DF;340
BA;340
RJ;340
RJ;340
RS;340
MG;340
SC;340
SP;340
AL;339
PE;339
MG;339
RS;339
RJ;339
SP;339
SC;339
SP;338
RS;337
PE;336
PE;336
MS;336
SP;336
SP;336
RJ;336
RS;336
AM;336
DF;336
RJ;335
PR;335
PR;335
MS;334
RJ;334
SP;334
SP;333
SP;333
RJ;332
PR;332
RS;332
PR;331
CE;330
SP;330
SC;330
MG;330
PR;330
AM;330
AL;330
RS;330
SC;330
MG;330
ES;328
ES;328
RS;328
PR;328
SP;328
DF;327
SC;327
RS;327
PA;327
GO;326
RJ;326
SC;326
SP;326
RS;326
RN;325
SC;325
MT;325
RN;324
CE;324
GO;324
RJ;324
RJ;324
RJ;324
AM;324
PR;324
BA;324
SC;323
RJ;323
BA;321
CE;321
AL;321
SC;321
PR;321
DF;320
RN;320
MS;320
SP;320
ES;320
SP;320
SP;320
SC;320
ES;320
SC;320
SP;320
RN;320
SC;320
AL;320
ES;319
SP;319
GO;319
RS;319
PE;318
GO;318
GO;318
DF;316
PR;316
PR;315
RS;315
SC;315
ES;315
RJ;314
RJ;314
SC;313
RS;313
CE;312
RN;312
MA;312
SP;312
RJ;312
MG;312
RN;312
SP;312
RS;312
GO;312
MS;312
CE;311
SC;311
SP;310
AC;310
RJ;310
RJ;310
MG;310
BA;310
RJ;310
RJ;310
SP;310
GO;309
SP;309
AL;308
RN;308
MT;308
SP;308
RS;308
SP;308
RS;308
DF;307
SP;307
CE;306
CE;306
SC;306
TO;306
PR;306
RJ;305
RS;305
SP;304
RJ;304
RS;304
RS;304
AM;304
RJ;304
SP;304
SP;304
GO;303
GO;303
RJ;303
RJ;303
SP;302
DF;301
GO;301
SP;301
PR;301
SP;301
SC;301
DF;301
BA;300
BA;300
PI;300
BA;300
SE;300
RN;300
GO;300
MG;300
RJ;300
BA;300
SP;300
SP;300
SP;300
RS;300
RJ;300
SP;300
RS;300
SP;300
RS;300
SC;300
RS;300
RS;300
PA;300
BA;300
RS;300
SC;300
SP;300
SE;300
RS;300
BA;300
SC;300
RJ;300
MG;300
SP;300
RS;300
PR;300
SP;300
SP;300
SP;300
SC;300
MA;300
RJ;300
GO;300
GO;300
SE;300
GO;300
PB;299
SP;298
SP;298
RJ;298
PR;298
PB;298
RS;298
PR;298
CE;297
PR;297
PE;296
PR;296
SP;296
SP;296
PR;295
SP;295
SC;295
SP;295
DF;294
SP;294
GO;294
MG;294
BA;294
SC;294
RS;294
SP;294
SC;294
PB;292
BA;292
RS;292
RS;292
PR;292
BA;291
SP;291
GO;291
BA;291
AL;290
PE;290
RJ;290
PE;290
RS;290
PR;290
SC;290
SP;290
CE;290
MG;290
MG;289
SP;289
SE;288
RN;288
SP;288
ES;288
SP;288
RJ;288
SP;288
SP;288
BA;287
MG;287
ES;287
PR;287
RJ;286
SP;286
TO;286
SC;286
AM;286
SP;285
SP;285
PE;284
MG;284
PR;284
PR;284
SC;284
SC;284
SC;283
BA;282
BA;282
MS;282
RJ;282
RJ;282
SP;282
TO;282
MG;282
RS;282
SP;282
DF;281
SP;281
BA;280
MS;280
RJ;280
MG;280
SP;280
RS;280
SP;280
PR;280
PR;280
RO;280
SC;280
PR;280
PR;280
MG;280
SC;280
DF;280
RJ;280
SP;280
RJ;280
SP;280
SE;279
SP;279
MT;279
RJ;279
PR;279
SP;279
SC;279
SP;279
PB;279
SP;279
RN;278
RJ;278
PR;278
MG;278
MG;278
RS;278
RJ;278
SP;277
MS;277
SP;277
SP;276
SP;276
RJ;276
SP;276
SC;276
SC;276
PR;276
SP;276
CE;275
PB;275
MS;275
SP;275
SP;275
RS;275
RS;275
PE;274
RJ;274
SP;274
SP;274
AL;274
PR;273
SC;273
DF;272
DF;272
PR;272
AL;271
PR;271
AL;270
MS;270
SP;270
RJ;270
SP;270
PA;270
RJ;270
PR;270
PR;270
BA;270
RJ;270
AP;270
CE;269
GO;269
MT;269
PB;269
SP;269
SP;268
RJ;268
RS;268
SE;267
PR;267
RS;267
MG;266
PR;266
SC;266
MG;266
BA;266
RJ;266
CE;265
SP;265
SE;264
BA;264
RN;264
MT;264
SP;264
RS;264
BA;264
AM;264
SC;264
SC;264
SC;264
RS;264
SC;264
PA;264
GO;264
SC;263
SC;263
SP;263
AL;262
MT;262
RO;262
SP;262
RS;262
SC;262
CE;262
AL;262
ES;261
PR;261
SP;261
DF;260
DF;260
PB;260
RN;260
AL;260
AL;260
GO;260
SP;260
PR;260
SP;260
SC;260
ES;260
SP;260
SP;260
RJ;260
DF;260
MG;260
PR;260
SC;260
PE;260
DF;260
SP;260
BA;260
RJ;260
SC;260
DF;260
RJ;260
GO;259
SP;259
SP;259
RS;259
CE;259
BA;258
SP;258
AM;258
RJ;258
MG;258
SP;257
SC;257
PR;257
RJ;257
BA;256
RJ;256
PA;256
RS;256
PR;256
AL;256
RJ;256
DF;255
BA;255
MG;255
SP;255
DF;254
PE;254
RJ;254
MG;254
SC;254
SP;254
RJ;254
MG;253
DF;253
SP;253
RJ;253
AL;252
MS;252
SP;252
SP;252
RJ;252
SP;252
SP;252
RJ;252
SC;252
SP;252
RS;252
RS;252
RS;252
RJ;252
SP;252
SC;252
RS;252
SC;252
BA;252
SP;252
MT;252
PR;252
PR;252
SP;252
BA;251
PA;251
SC;251
BA;250
AL;250
BA;250
BA;250
PE;250
RJ;250
PI;250
GO;250
MG;250
MG;250
MG;250
PR;250
MG;250
SP;250
MG;250
RO;250
AC;250
PA;250
RS;250
RS;250
RS;250
RS;250
PA;250
PR;250
BA;250
RJ;250
CE;250
SP;250
SP;250
SP;250
RJ;250
RJ;250
MG;250
SP;250
BA;250
MT;250
PR;250
SC;250
SC;250
RJ;249
AL;249
CE;249
SC;249
RJ;249
SP;248
GO;248
SP;248
RJ;248
SP;248
SC;248
SC;248
DF;248
SC;248
CE;247
RJ;247
SC;247
SP;247
PR;247
SC;247
RS;247
SP;247
PB;246
SP;246
PE;246
PR;246
DF;246
SP;246
PB;245
RN;245
MT;245
RN;245
SP;245
RS;245
RS;245
MA;245
MS;244
RS;244
PE;244
SP;244
SP;244
GO;244
BA;243
BA;243
SP;243
SP;243
BA;242
MT;242
SP;242
RS;242
RS;242
BA;242
RJ;242
PB;241
SP;241
MA;241
DF;240
AL;240
BA;240
CE;240
AL;240
BA;240
PE;240
MS;240
PB;240
BA;240
RJ;240
RJ;240
ES;240
RS;240
SC;240
RJ;240
SC;240
SP;240
AC;240
SC;240
SP;240
PR;240
MG;240
PR;240
SC;240
MG;240
RJ;240
RS;240
RS;240
BA;240
SP;240
SP;240
RJ;240
RS;240
RS;240
PB;240
RN;240
BA;240
SC;240
SP;240
PE;240
SP;239
RJ;239
AM;239
BA;239
BA;238
PI;238
PE;238
RJ;238
RJ;238
SP;238
AC;238
CE;238
SC;238
SP;238
MG;237
RJ;237
PR;237
SC;237
PR;237
BA;236
MG;236
SC;236
PR;236
SC;236
PR;236
RS;236
SP;236
BA;236
BA;236
BA;235
BA;235
RS;235
SC;235
AL;234
SE;234
SP;234
MG;234
GO;233
CE;232
RJ;232
GO;232
PR;232
PR;232
ES;232
MT;231
SP;231
MG;231
MA;230
SE;230
CE;230
BA;230
RJ;230
SP;230
SP;230
RJ;230
SC;230
SC;230
PR;230
MG;230
GO;230
PB;230
PR;230
RS;230
PR;230
RJ;230
PR;230
SC;230
RJ;229
RN;228
MG;228
RJ;228
SP;228
PR;228
RJ;227
SC;227
MG;227
BA;226
ES;226
SP;226
RO;226
RS;226
SP;226
SP;226
PA;226
SC;226
AL;225
MS;225
SP;225
SP;225
RJ;225
SP;225
PE;225
SC;225
RS;225
SE;224
BA;224
SE;224
ES;224
SP;224
RJ;224
RJ;224
MG;224
RS;224
PR;224
SP;224
SC;224
RJ;224
MA;224
RJ;224
SP;224
PB;224
RJ;223
PR;223
SP;223
SP;223
DF;222
SE;222
RN;222
AL;222
CE;222
RS;222
BA;222
RS;222
RS;222
RJ;222
SP;221
SP;221
DF;220
RN;220
AL;220
BA;220
PE;220
CE;220
BA;220
MA;220
GO;220
RJ;220
SP;220
GO;220
SP;220
SP;220
MG;220
RS;220
PR;220
RJ;220
RS;220
SC;220
SP;220
MG;220
SC;220
RS;220
SC;220
SC;220
SC;220
PR;220
RS;220
RS;220
ES;220
BA;220
MA;220
MA;220
RS;220
BA;220
RJ;220
SP;220
SP;220
PR;220
SC;220
MT;220
PR;220
CE;220
SC;220
SP;220
MT;220
SP;220
AL;219
CE;219
SP;219
SP;219
PE;218
PE;218
GO;218
MT;218
RJ;218
RJ;218
SP;218
AL;218
RS;218
RS;218
MT;218
SE;216
GO;216
MT;216
MG;216
SP;216
SP;216
PR;216
RS;216
MG;216
SP;216
RJ;216
BA;216
PR;216
TO;216
BA;216
MG;216
SP;216
CE;215
RJ;215
SP;215
MG;215
PI;215
SC;215
RO;215
RN;215
MT;214
RJ;214
PR;214
PR;214
MG;214
MG;214
SP;214
ES;214
SE;213
GO;213
RJ;213
RJ;213
SP;213
MG;213
PA;213
PB;213
MG;213
GO;212
SP;212
MG;212
SP;212
SC;212
SC;212
PR;212
MT;212
AM;212
MG;212
SC;212
SP;212
MG;212
RR;212
RJ;212
BA;211
PR;211
PR;211
DF;210
BA;210
BA;210
BA;210
GO;210
MS;210
RJ;210
MS;210
SP;210
RJ;210
SP;210
RS;210
PR;210
SC;210
SP;210
RS;210
PR;210
SP;210
MG;210
SC;210
RS;210
SC;210
RS;210
SC;210
SP;210
SP;210
SP;210
RS;210
SP;210
GO;210
SC;210
BA;209
MT;209
RJ;209
PR;209
SP;209
SE;208
PE;208
SP;208
MG;208
SP;208
SP;208
PR;208
SC;208
SP;208
RS;208
PA;208
SP;208
GO;208
RS;208
GO;208
SE;208
SC;208
MG;208
BA;207
PB;207
SP;207
MS;207
RS;207
AM;207
PA;207
SC;207
SP;207
GO;206
SP;206
PR;206
SC;206
SP;206
ES;205
SP;205
PA;205
PR;205
PR;205
PR;205
PA;205
MT;205
RS;205
RJ;204
RJ;204
GO;204
RJ;204
MG;204
SP;204
PR;204
RN;204
SP;204
MG;204
PE;204
SC;204
CE;204
RJ;204
AL;203
PR;203
PR;203
SC;203
SC;203
PB;202
GO;202
SP;202
RJ;202
SP;202
RJ;202
CE;202
MT;202
SC;202
BA;201
RS;201
PI;201
SP;201
DF;201
SC;201
DF;200
AL;200
BA;200
RN;200
SE;200
BA;200
BA;200
GO;200
MA;200
MS;200
MT;200
MS;200
MS;200
MG;200
SP;200
SP;200
SP;200
SP;200
MG;200
SP;200
SP;200
SC;200
SP;200
MG;200
ES;200
RS;200
RJ;200
MG;200
SP;200
BA;200
SP;200
MG;200
SC;200
SC;200
BA;200
PR;200
BA;200
SC;200
RS;200
RS;200
BA;200
RS;200
RJ;200
SC;200
BA;200
RS;200
SC;200
RS;200
SE;200
SP;200
SP;200
BA;200
RS;200
SP;200
MG;200
RN;200
SP;200
SP;200
GO;200
MG;200
SP;200
BA;200
RJ;200
PR;200
RJ;200
AL;200
SP;200
RJ;200
BA;200
SP;200
CE;200
CE;200
PE;200
MT;200
BA;200
PR;200
SP;200
BA;200
SP;200
SP;200
MG;200
RJ;199
RJ;199
PI;198
SP;198
SC;198
MG;198
SC;198
AM;198
CE;198
SC;198
CE;197
PR;197
MG;197
PA;197
PE;196
MS;196
SP;196
SP;196
PR;196
ES;196
SP;196
SC;196
SC;196
SP;196
SP;196
RS;196
BA;196
MA;195
AL;195
SP;195
SP;195
SP;195
BA;195
RS;195
RJ;194
SC;194
SP;193
PA;193
SP;193
BA;192
CE;192
CE;192
SP;192
RJ;192
MS;192
RJ;192
RJ;192
RJ;192
SP;192
SP;192
RS;192
SP;192
RS;192
PR;192
MG;192
SP;192
BA;192
MG;191
RJ;191
SC;191
SC;191
RS;191
PB;190
PE;190
MT;190
MT;190
PI;190
GO;190
BA;190
GO;190
RJ;190
MS;190
MG;190
SP;190
MG;190
PR;190
RS;190
SC;190
RS;190
RS;190
SC;190
PR;190
PE;190
SC;190
SP;190
RR;190
SC;190
RS;190
RJ;190
SP;190
CE;190
MA;190
SP;190
SC;190
SP;190
SP;190
RN;189
MG;189
SP;189
SP;189
RJ;189
RJ;189
RS;189
MG;189
SP;189
DF;188
RN;188
RN;188
PB;188
PB;188
MT;188
MG;188
SP;188
RS;188
SC;188
RS;188
SC;188
SP;188
SC;188
SP;188
PI;187
RJ;187
MG;187
RN;187
MG;187
CE;186
BA;186
MA;186
PB;186
RJ;186
MG;186
RS;186
SP;186
MG;185
PR;185
SP;185
AP;185
TO;185
MG;185
BA;184
CE;184
PB;184
BA;184
GO;184
SP;184
SP;184
SP;184
SP;184
SP;184
SP;184
MT;184
MT;184
BA;184
GO;184
MG;184
SP;184
PE;183
GO;183
MG;183
RS;183
RO;183
RS;183
PR;183
SP;182
MG;182
ES;182
RJ;182
PA;182
AM;182
ES;182
SC;182
RN;181
BA;181
PR;181
PR;181
PB;180
BA;180
PE;180
MA;180
PI;180
BA;180
BA;180
CE;180
CE;180
BA;180
BA;180
MT;180
SP;180
SP;180
MG;180
MS;180
MG;180
RJ;180
ES;180
AC;180
RJ;180
AM;180
TO;180
RS;180
SP;180
RS;180
RS;180
PR;180
MG;180
PR;180
RS;180
SP;180
PE;180
MG;180
MG;180
SC;180
SP;180
SP;180
SC;180
SP;180
SP;180
RS;180
PR;180
RS;180
SP;180
PR;180
RS;180
SP;180
SC;180
RJ;180
BA;180
TO;180
RJ;180
PB;180
SP;180
MG;180
DF;180
GO;180
PE;180
SP;179
SP;179
ES;179
SP;179
PR;179
PB;178
AL;178
SP;178
BA;178
MS;178
MS;178
SP;178
RJ;178
BA;178
PR;178
RS;178
MG;178
BA;178
MG;177
SC;177
PI;177
MG;177
ES;176
RJ;176
PR;176
RJ;176
SP;176
MA;175
SP;175
SP;175
PR;175
PR;175
PR;175
RJ;175
RS;175
SP;175
DF;174
PB;174
BA;174
RJ;174
RJ;174
PR;174
PR;174
SP;174
GO;174
SC;174
MG;174
SP;174
RJ;174
RN;174
BA;174
RJ;174
AL;173
PE;173
SP;173
SP;173
CE;173
MA;172
RJ;172
MS;172
RJ;172
RN;172
SC;172
ES;172
SP;172
PA;172
RS;172
SP;172
SC;172
SP;172
SP;172
AP;172
GO;171
SP;171
SE;171
RJ;171
BA;171
PR;171
RS;171
PE;170
PB;170
PB;170
CE;170
PB;170
GO;170
RJ;170
SP;170
RJ;170
SP;170
SP;170
MT;170
SP;170
RJ;170
RS;170
SC;170
SC;170
SC;170
ES;170
SP;170
RS;170
SP;170
RJ;170
PR;170
ES;170
PR;170
SP;170
RS;170
SP;170
RJ;170
RS;170
RS;170
DF;169
CE;169
RJ;169
SC;169
PR;169
PR;169
SP;169
MA;169
BA;168
MS;168
BA;168
SP;168
SP;168
SP;168
MT;168
RS;168
PR;168
RS;168
SP;168
RJ;168
PR;168
SP;168
RS;168
MT;168
RS;168
SP;168
SC;168
SP;168
SP;168
PI;168
PB;167
SP;167
SP;167
RJ;167
SC;167
PR;167
RS;167
RS;167
SE;166
RJ;166
SP;166
SP;166
SP;166
PA;166
SP;166
SP;166
SP;166
PR;166
BA;166
SP;166
GO;165
MG;165
SP;165
SP;165
PR;165
SC;165
SC;165
SC;165
SP;165
SC;165
SP;165
SP;165
SP;165
BA;164
PB;164
GO;164
SP;164
SC;164
RS;164
RS;164
SP;164
SP;164
RJ;164
AC;164
SP;164
RS;164
DF;164
RS;164
SC;164
RJ;164
SP;164
RS;164
MG;163
SP;163
RJ;163
RJ;163
SP;163
MG;163
TO;163
MA;163
RS;163
BA;162
GO;162
SP;162
MG;162
BA;162
SC;162
SC;162
SP;162
PR;162
MA;162
AM;162
SP;162
RJ;162
MA;162
SP;162
CE;162
MG;162
DF;162
RJ;162
DF;161
CE;161
MS;161
SP;161
PR;161
SP;161
SP;161
PR;161
SP;161
SP;161
AP;161
PI;160
AL;160
PI;160
MA;160
BA;160
PI;160
MA;160
GO;160
SP;160
ES;160
MG;160
RJ;160
RJ;160
SP;160
RJ;160
MG;160
SP;160
SP;160
MG;160
SP;160
SP;160
RJ;160
ES;160
ES;160
SP;160
ES;160
SP;160
PR;160
RS;160
SC;160
RS;160
RJ;160
SP;160
SP;160
MG;160
SP;160
PR;160
SC;160
PR;160
SC;160
SC;160
PR;160
SC;160
SP;160
RJ;160
PR;160
PR;160
SC;160
RS;160
SC;160
ES;160
BA;160
PR;160
RS;160
MG;160
ES;160
SC;160
MG;160
SP;160
ES;160
MG;160
PB;160
SP;160
MG;160
PI;160
MG;160
SP;160
AM;160
SP;160
BA;160
SP;160
BA;159
SP;159
SP;159
RJ;159
MG;159
SP;159
SP;159
PA;159
RJ;159
CE;158
SP;158
SP;158
RJ;158
MG;158
CE;158
PR;158
PR;158
SC;158
PA;158
BA;157
MT;157
SP;157
SP;157
SC;157
RJ;157
SC;157
MT;157
MG;157
SP;156
RJ;156
GO;156
RJ;156
PA;156
PR;156
PR;156
PR;156
SP;156
SP;156
RJ;156
PR;156
RS;156
RS;156
MT;156
SP;156
RS;156
RJ;155
SP;155
SP;155
SP;155
RS;155
SP;155
AP;155
MG;155
SP;154
SP;154
SP;154
ES;154
ES;154
RS;154
SP;154
AC;154
PR;154
BA;154
PR;154
SP;153
PR;153
PR;153
MT;153
RS;153
RS;153
RN;153
SC;153
BA;152
MT;152
PB;152
ES;152
RJ;152
SP;152
PA;152
RJ;152
RJ;152
SC;152
AM;152
SC;152
GO;152
BA;152
SP;152
SP;152
SP;152
SP;152
MG;152
SP;151
SC;151
SP;151
PR;151
SC;151
MG;151
MG;151
SC;151
SC;151
CE;151
SC;151
BA;150
PB;150
PE;150
BA;150
BA;150
PB;150
PE;150
GO;150
RJ;150
SP;150
BA;150
SP;150
MG;150
SP;150
SP;150
ES;150
SP;150
MG;150
SP;150
SP;150
RJ;150
SP;150
SP;150
SC;150
SP;150
RJ;150
SP;150
PR;150
SP;150
SP;150
MG;150
MG;150
PR;150
RS;150
RS;150
RJ;150
SP;150
SC;150
MG;150
BA;150
RJ;150
SP;150
SP;150
GO;150
SP;150
RJ;150
RN;150
SP;150
RS;150
RJ;150
AM;150
AM;150
SC;150
RJ;150
RS;150
RS;150
SP;150
DF;150
SP;150
RS;150
RN;150
RJ;150
CE;150
AP;150
ES;150
BA;150
SC;150
SP;150
SP;150
RS;150
RS;150
RS;150
SC;150
GO;150
BA;150
RJ;150
PB;150
SP;150
SP;150
BA;150
SC;150
MT;150
RS;150
MG;150
RS;150
SP;150
SC;150
PR;150
SC;150
RS;150
RN;150
SP;150
BA;150
RJ;150
SP;150
SC;150
MG;150
RJ;150
MT;150
RJ;150
BA;150
BA;149
AL;149
MG;149
GO;149
PA;149
SC;149
GO;149
RS;149
RJ;149
PR;149
DF;148
SE;148
BA;148
BA;148
BA;148
SP;148
BA;148
SP;148
PR;148
RJ;148
MG;148
PA;148
PR;148
PR;148
RS;148
PR;148
ES;148
SP;148
SP;148
RS;148
SC;148
SP;148
MG;148
GO;147
MT;147
SP;147
MS;147
SP;147
SP;147
RJ;147
PR;147
PR;147
SP;147
BA;146
GO;146
PE;146
MG;146
MG;146
MG;146
PA;146
PR;146
SP;146
PR;146
PE;146
SC;146
BA;146
PR;146
SC;146
AL;145
AL;145
MG;145
MG;145
RS;145
SP;145
ES;145
AP;145
PR;145
PE;145
SP;145
PA;145
PA;145
SC;145
PE;144
RJ;144
GO;144
MG;144
MG;144
SP;144
SP;144
RJ;144
SP;144
SP;144
SP;144
SP;144
PR;144
SP;144
SP;144
PR;144
SP;144
RS;144
MG;144
SP;144
MG;144
SC;144
MG;144
RS;144
PR;144
GO;144
TO;144
SC;144
PR;144
SC;144
PR;144
SP;144
RS;144
RS;144
DF;144
SP;144
BA;144
GO;144
ES;144
SP;144
BA;144
TO;144
BA;144
SC;144
MG;144
SC;144
SP;144
BA;143
MG;143
MG;143
PI;143
GO;143
GO;142
RJ;142
RJ;142
SC;142
RO;142
PR;142
SP;142
MG;142
SP;142
AM;142
DF;141
CE;141
PE;141
AL;141
GO;141
SC;141
BA;141
PR;141
DF;140
RN;140
PI;140
BA;140
BA;140
AL;140
CE;140
AL;140
RJ;140
MT;140
SP;140
MT;140
SP;140
MG;140
SP;140
MG;140
SP;140
MS;140
RJ;140
SP;140
SP;140
RJ;140
RS;140
PR;140
SP;140
SP;140
ES;140
RJ;140
RS;140
MG;140
SP;140
PB;140
SP;140
SC;140
RJ;140
PB;140
SC;140
PR;140
SC;140
RS;140
AM;140
SC;140
SC;140
RS;140
PR;140
SC;140
BA;140
SP;140
MG;140
SP;140
CE;140
SP;140
RS;140
PR;140
RS;140
SC;140
GO;140
SP;140
SP;140
GO;140
SP;140
SC;140
PR;140
SP;139
TO;139
SP;139
PA;139
RS;139
RS;139
SP;139
RJ;139
MG;139
GO;139
CE;138
BA;138
PB;138
SP;138
ES;138
SP;138
SP;138
ES;138
SP;138
SP;138
SP;138
AM;138
SP;138
MT;138
RJ;138
RN;138
SC;138
PA;138
PR;138
RS;138
PR;138
RJ;138
RN;137
AL;137
SP;137
PR;137
MG;137
PR;137
PR;137
PA;137
ES;137
RS;137
SP;137
PB;136
MT;136
MT;136
MG;136
SP;136
SP;136
SP;136
MG;136
PR;136
SP;136
PR;136
SC;136
SC;136
GO;136
DF;136
RS;136
RS;136
RJ;136
SC;136
SP;136
BA;136
RS;136
RJ;136
CE;136
AP;136
CE;135
PI;135
CE;135
SE;135
BA;135
MT;135
RN;135
SP;135
PR;135
RJ;135
TO;135
AC;135
GO;135
SC;135
GO;135
SC;135
PR;135
MA;135
RS;135
RN;135
SP;135
GO;135
GO;135
BA;134
BA;134
MA;134
SP;134
SP;134
RJ;134
SP;134
RJ;134
RJ;134
SP;134
PR;134
SP;134
DF;134
SP;134
AM;134
SC;134
RJ;134
