UF;Leitos
SP;4560
SP;4560
ES;4000
MG;4000
SP;3840
SP;3100
SP;3000
GO;2607
SP;2550
RS;2486
BA;2336
GO;2200
ES;1994
GO;1932
GO;1920
ES;1790
GO;1724
SP;1652
BA;1564
RS;1523
SP;1500
GO;1480
GO;1440
GO;1440
GO;1420
CE;1391
MG;1389
PR;1368
SC;1300
RN;1300
PR;1286
GO;1280
GO;1252
SP;1233
RN;1210
CE;1200
GO;1200
SP;1200
RJ;1196
SP;1126
BA;1100
SP;1098
BA;1059
AL;1046
RJ;1040
RJ;1040
GO;1040
PR;1024
PR;1024
GO;1010
GO;1009
SC;1008
BA;1000
RN;1000
RN;997
SP;995
SP;989
AL;980
SC;978
BA;962
BA;946
CE;942
ES;936
PR;926
PR;914
GO;912
CE;902
BA;900
RJ;885
RJ;873
SP;871
GO;868
SC;864
SC;850
GO;850
BA;840
RJ;839
BA;825
RJ;823
SP;819
SP;800
RJ;800
PE;799
CE;795
SP;785
RO;780
MG;771
DF;766
RS;765
SP;760
RJ;757
RJ;756
CE;753
SP;746
DF;744
BA;740
RJ;734
RJ;729
SP;728
SP;728
DF;727
PA;724
DF;722
AL;720
MG;720
DF;720
SP;720
RS;718
PE;715
SP;714
PR;710
RJ;705
CE;700
SP;700
PE;699
MG;698
BA;697
SP;692
MG;691
MT;682
BA;682
RJ;681
SP;680
SP;680
SP;674
GO;672
SC;672
BA;667
CE;662
RJ;662
GO;660
SP;656
SP;656
PR;653
SP;650
RS;648
GO;645
RJ;644
MG;635
CE;630
RJ;628
PR;625
PE;620
SP;618
CE;616
RJ;610
SP;609
SP;604
RJ;602
PE;600
BA;600
SC;600
SP;600
MA;596
RJ;596
SP;596
RN;595
PE;592
SP;592
MG;591
RN;587
AL;584
RJ;584
CE;579
RJ;579
PA;579
BA;578
CE;576
PB;576
DF;575
SP;575
BA;574
BA;573
SP;573
PR;569
PE;568
AL;566
PE;566
SP;566
RJ;566
BA;564
RJ;563
RJ;560
PR;560
MG;560
RJ;560
AL;556
SP;556
SP;552
MG;550
PR;550
RJ;548
SP;548
SP;545
MA;544
PR;544
SP;542
AL;540
BA;540
PE;536
DF;532
AL;530
PE;530
CE;530
GO;529
GO;528
SP;528
MG;528
BA;527
PR;526
SP;525
MG;525
SP;524
AL;521
CE;520
SP;520
CE;519
SP;517
MA;515
BA;512
SP;512
SP;512
MG;510
SC;510
GO;510
SC;509
BA;508
RS;508
SP;507
SC;506
PR;506
MS;505
ES;505
BA;505
RS;504
RS;504
SP;503
SP;503
SP;501
RN;500
BA;500
RJ;500
SP;500
RS;500
SC;500
MG;500
RJ;500
SC;500
SC;500
RN;500
CE;500
RN;500
SP;498
RS;497
RJ;494
PE;492
MG;488
MG;486
SC;486
CE;486
CE;486
SP;486
SP;484
SP;482
RN;482
SP;480
AL;480
GO;477
SP;476
PR;476
PA;474
BA;474
AL;472
BA;470
BA;470
BA;470
BA;470
SC;465
MG;464
RS;464
BA;462
SP;462
RJ;462
MT;461
RN;460
PE;456
BA;456
SP;456
SP;456
SP;455
PB;453
SP;453
RS;452
PE;450
AL;450
MG;450
MG;450
SP;450
PR;450
SP;450
SP;450
SP;450
BA;450
SC;450
SC;450
BA;448
MG;448
SP;446
RJ;446
SC;444
ES;444
RS;444
AL;443
SC;443
RS;443
SP;442
DF;441
SC;440
ES;440
DF;436
GO;435
CE;434
SP;434
SP;434
DF;432
RN;432
PE;432
RJ;432
MA;432
BA;432
CE;431
RJ;430
CE;426
RS;426
SP;426
DF;425
RJ;424
SC;424
AM;424
RJ;422
SP;422
CE;420
RJ;420
SC;420
PR;420
SC;420
GO;420
RN;418
SP;418
MG;417
SP;416
SP;415
BA;414
SP;414
AM;414
RJ;413
BA;412
BA;412
PE;412
SC;412
SP;412
AL;411
AL;411
PA;411
SC;411
RN;410
PE;410
SP;410
SC;410
PR;409
RS;409
MT;409
AM;408
BA;408
BA;408
SC;406
RJ;405
SP;405
PR;405
MG;404
RJ;403
RS;403
BA;402
MS;402
RJ;401
BA;400
PE;400
PE;400
BA;400
PE;400
PE;400
SP;400
MG;400
SP;400
SP;400
SP;400
RJ;400
SP;400
PR;400
RS;400
PE;400
PB;400
PE;400
AL;400
BA;400
BA;400
MG;399
PR;399
RS;399
AL;398
SP;397
RJ;396
SP;396
SC;396
SP;395
SC;394
PR;394
MT;393
PE;392
BA;392
PR;392
SP;392
MA;392
SP;391
SP;391
AL;390
RJ;390
RS;390
PR;390
RS;390
SC;390
SC;390
SP;390
RJ;388
RJ;387
PA;386
MG;386
ES;386
BA;384
SP;384
RJ;384
RS;383
SP;382
DF;382
SP;382
BA;381
PE;380
SP;380
ES;380
SP;380
SC;380
SP;380
MG;380
RJ;380
SP;380
SC;379
AL;378
GO;378
RJ;378
RJ;378
RJ;378
CE;376
PE;376
SP;376
SP;375
AM;374
SP;373
CE;373
MG;370
AM;370
RJ;370
BA;369
RS;369
BA;368
RJ;368
RJ;367
SP;367
BA;367
DF;366
SP;366
GO;365
MG;365
RS;365
SP;364
SC;364
SP;363
MG;363
SP;363
PE;362
MS;362
RS;362
CE;361
AC;361
PB;360
PE;360
SP;360
SP;360
SP;360
SP;360
PR;360
SP;360
PR;360
SP;360
RJ;360
PE;360
BA;360
RS;358
SE;357
SP;356
SP;356
PR;356
PE;354
SP;354
RS;354
PR;354
SP;354
BA;354
PB;353
PI;352
PE;352
SC;352
SP;352
DF;350
PB;350
CE;350
PB;350
RN;350
PE;350
BA;350
PB;350
PE;350
PE;350
MG;350
MS;350
MG;350
SC;350
SC;350
MG;350
SP;350
RO;350
MG;350
SP;350
AL;350
SC;350
SC;350
SC;350
GO;350
SP;350
RS;350
SC;350
BA;350
